Item Description,UOM,Seq,Pack Type,Price,Last Inventory Qty,Inv Count,Total Price
SNAPPER RED FILLET 4-6OZ SK/OFF GW,lb,1,,$26.70,0.00 lb,0.00 lb,$0.00
SNAPPER RED FILLET 4-6OZ SK/OFF GW,EA,1,,$26.70,0.00 EA,0.00 EA,$0.00
CHICKEN CVP THIGH B/S HALAL JM,CS,2,4/10LB,$97.50,0.00 CS,0.00 CS,$0.00
CHICKEN CVP THIGH B/S HALAL JM,EA,2,4/10LB,$24.38,0.00 EA,0.00 EA,$0.00
DOUGH COOKIE CHOC CHUNK 3OZ,CS,3,104/3 OZ,$78.25,5.00 CS,3.00 CS,$234.75
DOUGH COOKIE CHOC CHUNK 3OZ,EA,3,104/3 OZ,$0.75,0.00 EA,0.00 EA,$0.00
DOUGH FALAFEL,CS,4,4/3.5 LB,$43.06,0.00 CS,0.00 CS,$0.00
DOUGH FALAFEL,EA,4,4/3.5 LB,$10.77,0.00 EA,0.00 EA,$0.00
CORN WHL KERNEL GR A P,CS,5,12/2.5LB,$45.80,3.00 CS,3.00 CS,$137.40
CORN WHL KERNEL GR A P,EA,5,12/2.5LB,$3.82,0.00 EA,0.00 EA,$0.00
CHICKEN ENCHILADA 1.75 OZ,CS,6,90/1.75OZ,$41.93,6.00 CS,6.00 CS,$251.58
CHICKEN ENCHILADA 1.75 OZ,EA,6,90/1.75OZ,$0.47,0.00 EA,0.00 EA,$0.00
BEEF RIBEYE LPON BNLSSELCT,CS,7,3/15-18#,$12.64,49.50 CS,53.70 CS,$678.77
FISH PACK 5/7 OZ IQF TILAPIA,CS,8,1/10 LB,$52.44,14.00 CS,6.00 CS,$314.64
FISH PACK 5/7 OZ IQF TILAPIA,EA,8,1/10 LB,$52.44,0.00 EA,0.00 EA,$0.00
CHICKEN DRUMSTICK IQF XLARGE,CS,9,96/3.6 OZ,$30.13,13.00 CS,12.50 CS,$376.62
CHICKEN DRUMSTICK IQF XLARGE,EA,9,96/3.6 OZ,$0.31,0.00 EA,0.00 EA,$0.00
MUFFIN VARIETY IW,CS,10,60/4 OZ,$71.87,18.00 CS,16.00 CS,"$1,149.92"
MUFFIN VARIETY IW,EA,10,60/4 OZ,$1.20,0.00 EA,0.00 EA,$0.00
EGGROLL VEGETABLE,CS,11,72/3 OZ,$49.57,9.00 CS,8.00 CS,$396.56
EGGROLL VEGETABLE,EA,11,72/3 OZ,$0.69,0.00 EA,0.00 EA,$0.00
CHICKEN THIGH BNLS SKLS HALAL,CS,12,4/10 LB,$68.03,10.00 CS,2.00 CS,$136.06
CHICKEN THIGH BNLS SKLS HALAL,EA,12,4/10 LB,$17.01,0.00 EA,0.00 EA,$0.00
BEEF OXTAILS CUT FRZN,lb,13,1/15#,$9.06,0.00 lb,64.50 lb,$584.37
BEEF GRND BULK 80/20 HMBRGR,CS,14,4/5 LB,$108.32,8.00 CS,1.00 CS,$108.32
BEEF GRND BULK 80/20 HMBRGR,EA,14,4/5 LB,$27.08,0.00 EA,0.00 EA,$0.00
PORK RIB ST.LOUIS CKD SMK,CS,15,12/1.75#,$8.14,171.63 CS,171.63 CS,"$1,397.07"
BEEF FRITTER TX STY BRD,CS,16,40/4 OZ,$53.01,2.00 CS,0.00 CS,$0.00
BEEF FRITTER TX STY BRD,EA,16,40/4 OZ,$1.32,0.00 EA,0.00 EA,$0.00
CHICKEN CVP BRST TENDER JUMBO,CS,17,4/10 LB,$110.07,6.00 CS,5.00 CS,$550.35
CHICKEN CVP BRST TENDER JUMBO,EA,17,4/10 LB,$27.52,0.00 EA,0.00 EA,$0.00
BEEF BRISKET DCKL- OFF 120,CS,18,5/10#UP,$5.21,0.00 CS,0.00 CS,$0.00
CHICKEN BRST FIL ITAL BRD PRCK,CS,19,34/4.7 OZ,$55.81,2.00 CS,2.00 CS,$111.62
