Item Description,GTIN,Pack Type,Price,UOM,Category
ALMOND PASTE ALMONDAS 50% RAW,,1 / 2.2 LB,$27.68,CS,PANTRY
APPLE PECTINE HEAT ACT SINGLE SET PURE,,1 / 1 LB,$82.00,CS,PANTRY
BAGEL ASSORTED SLI T&S,10823056870239,90/3 OZ,$41.87,CS,FULLY BAKED
BAGEL ASST PL/SS/O/BL/CR,10823056871489,72/4 OZ,$39.83,CS,PAR BAKED
BAGEL ASST SLI 4OZ PL/EVRY/CR,00743672003602,48/4OZ,$28.21,CS,FULLY BAKED
BAGEL BLUEBERRY JMBO,10032100080283,12/6 CT,$31.48,CS,FULLY BAKED
BAGEL BLUEBERRY SLI,10823056870338,72/4OZ,$38.79,CS,FULLY BAKED
BAGEL BLUEBRRY UNSLICED,00743672013137,48/4OZ,$29.56,CS,FULLY BAKED
BAGEL CHEESE ASIAGO UNSLICED,10743672013165,48/4OZ,$36.19,CS,FULLY BAKED
BAGEL CIN/RSN 3 OZ,10032100080405,12/6 CT,$27.05,CS,FULLY BAKED
BAGEL CINN FRCH TOAST UNSLIC,10743672013394,48/4OZ,$31.01,CS,FULLY BAKED
BAGEL CINN RSN JMBO,10032100080313,12/6CT,$31.42,CS,FULLY BAKED
BAGEL EVERYTHING 4OZ SLI,10743672002558,48/4 OZ,$28.78,CS,MISC
BAGEL EVERYTHING UNSLICED,10743672013066,48/4OZ,$27.19,CS,FULLY BAKED
BAGEL HONEY WHEAT PARBK,10032100080337,12/6CT,$30.13,CS,PAR BAKED
BAGEL PLAIN,10032100080290,12/6CT,$28.43,CS,FULLY BAKED
BAGEL PLAIN SLI 4OZ,00743672002513,48/4OZ,$28.78,CS,FULLY BAKED
BAGEL PLAIN SLI T&S,10823056870215,90/3 OZ,$37.16,CS,FULLY BAKED
BAGEL PLAIN SLI T&S,10823056876163,90/2.3 OZ,$33.77,CS,FULLY BAKED
BAGEL PLAIN UNSLICED,00743672013014,48/4OZ,$27.19,CS,FULLY BAKED
BAGEL PLAIN WHL GRAIN SLI T&S,10823056877764,72/2.3 OZ,$36.08,CS,FULLY BAKED
BAGEL SESAME UNSLICED,10743672013035,48/4OZ,$27.19,CS,FULLY BAKED
BAGEL STRAWBERRY MINI,10018000384133,72/2.43OZ,$46.27,CS,FULLY BAKED
BAR FRUIT LMN LOVER S UNCUT,10032100085707,4/44 OZ,$82.16,CS,MISC
BATTER MUFFIN APPLE CINNAMON,10094562080065,1/18 LB,$70.45,CS,BATTER
BATTER MUFFIN BANANA NUT,10094562080225,1/18 LB,$70.45,CS,BATTER
BATTER MUFFIN BANANA NUT,10094562080218,6/3 LB,$70.75,CS,BATTER
BATTER MUFFIN BLUEBERRY,10094562080263,6/3 LB,$65.58,CS,BATTER
BATTER MUFFIN BLUEBERRY,10094562080270,1/18 LB,$69.04,CS,BATTER
BATTER MUFFIN CAKE CHOC,10094562109339,6/3LB,$77.05,CS,BATTER
BATTER MUFFIN CAKE VAN,10094562109292,6/3LB,$75.63,CS,BATTER
BATTER MUFFIN CHOC CHOC CHIP,10094562080126,1/18 LB,$70.33,CS,BATTER
BATTER MUFFIN CRNBRY NUT,10094562080492,6/3 LB,$76.11,CS,BATTER
BATTER MUFFIN LEMON POPPYSEED,10094562080775,6/3 LB,$68.09,CS,BATTER
