Item Description,GTIN,Pack Type,Price,UOM,Category
12oz Coors,933409,**,$1.07,1,
8th Wonder - Cougar Paw 12oz CAN,933400,24/12oz CAN,$34.47/$1.44,Case/Each,
8th Wonder Cougar Paw - KEG,533401,1/15.5Gal,$94.00,keg,
8th Wonder Dome Faux'm 12oz CAN,933401,24/12oz CAN,$33.36/$1.39,Case/Each,
8th Wonder Tex - KEG,533403,1/15.5Gal,$75.00,keg,
8th Wonder Tex 12oz CAN,933402,24/12oz CAN,$33.36/$1.39,Case/Each,
Alma Mater Ale 16oz CAN,,6/4packs,$20.40/$0.85,Case/Each,
Angry Orchard Crisp Apple Cider,0,**,$1.43,1,
Art Car,933431,**,$1.33,1,
Bud Light,933408,15/25oz CAN,$2.09/$2.09,~Case???/Each,
Bud Light 16oz Al-BTL,933406,24/16oz CAN,$28.80/$1.20,Case/Each,
BUD LIGHT 24/12OZ,933406,24/12oz CAN,$27.40/$1.14,Case/Each,
Bud Light 25oz CAN,933404,15/25oz CAN,$32.85/$2.19,CASE/Each,
Bud Light Seltzer 16oz CAN,933403,24/16oz CAN,$33.84/$1.41,Case/Each,
Budweiser 16oz Al-BTL,933406,24/16oz Al-BTL,$23.28/$0.97,Case/Each,
Budweiser 25oz CAN,933407,15/25oz CAN,$32.85/$2.19,CASE/Each,
BUSCH  LIGHT 24/12OZ CAN,933406,24/12OZ CAN,$20.65/$0.86,Case/Each,
BUSH 12 OZ,933408,**,$0.86,ea,
Coors Light 16oz Al-BTL,933409,24/16oz Al-BTL,$33.36/$1.39,Case/Each,
Coors Light 24oz CAN,933410,12/24oz CAN,$26.28/$2.19,case/Each,
Cutwater Margarita,933411,24/12oz CAN?,$2.95/$2.95,~Case???/Each,
Estrella 12/24oz cans,933444,12/24oz cans,$32.36/$2.70,Case/Each,
heineken 16oz,933414,**,$1.35,1,
Hoop Tea 16oz CAN,933414,24/16oz CAN,$31.92/$1.33,Case/Each,
Hoop Tea 24oz CAN,933415,12/24oz CAN,$27.76/$2.31,Case/Each,
KAR Crawford Bock 25oz CAN,933416,15/25oz CAN,$39.70/$2.64,CASE/Each,
KAR Hopadillo 16oz CAN,933417,24/16oz CAN,$31.92/$1.33,Case/Each,
KAR Hopadillo 19.2oz CAN,933418,12/19.2oz CAN,$27.16/$2.26,CASE/Each,
KAR LAGER1/6 BBL KEG,,,$46.65,EA,
KAR Lov Street 12oz CAN,933433,24/12ozCans,$38.16/$1.59,Case/Each,
KAR Lov Street 16oz CAN,933417,24/16oz CAN,$31.92/$1.33,Case/Each,
KAR Lov Street 19.2oz CAN,933418,12/19.2ozCans,$21.96/$1.83,Case/Each,
KAR Lov Street 25oz CAN,933434,15/25oz CAN,$39.70/$2.25,CASE/Each,
KAR RanchWater 25oz CAN,933419,15/25oz CAN,$39.70/$2.64,CASE/Each,
KAR ZIEGENBOC KEG,,,$117.00,EA,
keg 8 wonder dome,533402,,$94.00,keg,
Mich Ultra,533480,**,$2.00,1,
Mich Ultra 12oz CAN,933435,24/12oz Cans,$30.47/$1.27,Case/Each,
Mich Ultra 16oz Al-BTL,533478,24/16oz Al-BTL,$28.80/$1.20,Case/Each,
Mich Ultra 25oz CAN,933436,15/25oz CAN,$33.80/$2.25,CASE/Each,
Miller lite 12oz CAN,933437,24/a2ozCans,$25.70/$1.07,Case/Each,
Miller Lite 16oz Al-BTL,533479,24/16oz Al-BTL,$17.40/$1.16,Case/Each,
Miller lite 24oz CAN,933438,12/24oz CAN,$26.28/$2.19,case/Each,
Modelo Esp  24oz CAN,933439,12/24oz CAN,$32.36/$2.69,CASE/Each,
Modelo Esp 12oz CAN,933400,24/12ozCans,$35.52/$1.48,Case/Each,
Modelo Esp 16oz CAN,933420,24/16oz CAN,$1.18,1,
Ranch Water 16oz CAN,933425,24/16oz CAN,$31.92/$1.33,Case/Each,
shiner bock ***remove this item,533488,,$1.35,ea,
Shiner Bock 12oz CAN,933429,24/12oz CAN,$32.40/$1.35,Case/Each,
Shiner Bock 24oz CAN,933430,12/24oz CAN,$31.80/$2.65,case/Each,
St Arnold  Art Car 12oz CAN,933431,24/12oz CAN,$38.16/$1.59,Case/Each,
St Arnold Art Car 19.2oz CAN,933432,12/19.2oz CAN,$27.16/$2.27,Case/Each,
topo malt bev,515450,,$1.53,1,
White Claw 24/16oz Can,933445,,$1.33,1,
