Item Description,GTIN,Pack Type,Price,UOM,Category
A W Soda Root Beer Can,00078000001877,2/12/12 oz,$13.53,CS,Carb Cnd Drk/Sda
A W Soda Root Beer Fridgepack,00780000521698,2/12/12 oz,$13.53,CS,Carb Cnd Drk/Sda
A W Soda Root Beer Zro Sug,00078000053135,2/12/12 oz,$13.53,CS,Carb Cnd Drk/Sda
AriZona Drink Fruit Punch PP,00613008718770,24/22 oz,$16.11,CS,Non-Carbonated Can
AriZona Tea Iced Green   99,00613008715274,24/22 oz,$16.11,CS,Iced Teas
AriZona Tea Mucho Mango   99,00613008735425,24/22 oz,$16.11,CS,Iced Teas
AriZona Tea Sweet   99,00613008717704,24/22 oz,$16.11,CS,Iced Teas
ArnoldPL Tea Iced Light   99,00013008719317,24/22 oz,$16.11,CS,Iced Teas
BEVBASE FRUIT PUNCH 12/16OZ,10840825010627,12/1 LB,$2.97,EA,BEVERAGE
BEVBASE HORCHTA (d) 16OZ/12CS,10840825010481,12/1 LB,$3.34,EA,BEVERAGE
BEVBASE LEMON (s) 12/12.5OZ,10840825010603,12/12.5 OZ,$2.01,EA,BEVERAGE
BEVBASE LEMONADE 24OZ/12CS,,12/24 OZ,$6.17,EA,BEVERAGE
"BEVBASE MOCHA FRP (d,s) 4/3LB",00856970005633,4/3 LB,$37.90,CS,BEVERAGE
"BEVBASE NEUTRL BLDER(d,s)4/3LB",00856970005428,#53260,$37.90,CS,BEVERAGE
BEVBASE PINK LEMNADE 24OZ/12CS,,18LB/CS,$5.00,EA,BEVERAGE
"BEVBASE VANILLA (d,s) 4/3LB",10856970005302,#53259,$87.56,CS,BEVERAGE
BEVERAGE MIX FROTHY ALEGRIA,10000949014752,8/32OZ,$201.24,CS,MISC
BIB - Coke,515401,1/5GAL,$115.95,1,
BIB - Coke Zero,515402,1/5GAL,$60.50,1,
BIB - Diet Coke,515403,1/5GAL,$115.95,1,
BIB - Lemonade,515404,1/2.5GAL,$60.50,1,
BIB - Mr Pibb,515405,1/5GAL,$115.95,1,
BIB - POWERADE - Fruit Punch,515406,1.5 GAL,$115.95,CS,
BIB - Powerade - Mountain Blast,515407,1/2.5Gal,$60.50,1,
BIB - Sprite,515408,1/5GAL,$115.95,1,
BIB - Tonic,515409,1/2.5Gal,$51.90,each,
Big Red Soda Can,00071817040299,24/12 oz,$13.53,CS,Carb Cnd Drk/Sda
Big Red Soda PET,00780002200904,24/16.9 oz,$29.67,CS,Carb Bottled Soda
bloody spicy mary,,,$7.24,ea,
Brisk Tea Iced w Lemon Can,00012000202360,2/12/12 oz,$15.73,CS,Iced Teas
BTL - Lemonade 20oz,915422,24 pack,$30.46/$1.27,Case/Each,
CAN GR DCF FP 6X12/2.25OZ,10840825033053,72/2.25 OZ,$112.50,CS,CAINS
CAN GR GLD BRKFS FP6X12/2.25OZ,10840825033039,72/2.25 OZ,$118.92,CS,CAINS
CAN GR GLD BRKFS FP6X12/2.67OZ,10840825033046,72/2.67 OZ,$144.98,CS,CAINS
CAN GR GLD BRKFST FP 6X7/2OZ,10840825033022,42/2 OZ,$56.76,CS,CAINS
CAN GR GOL BRKFST 12/1LB,10840825033084,1/1 LB,$10.45,EA,CAINS
CAN GR HRT EST FP 6X7/2OZ,10840825033060,42/2 OZ,$61.58,CS,CAINS
CAN GR SUN CUP FP 6X12/2.25OZ,10840825033077,72/2.25 OZ,$100.32,CS,CAINS
CanDry Soda Ginger Ale Can,00078000010893,2/12/12 oz,$13.53,CS,Carb Cnd Drk/Sda
CAPP ALMOND AMARTTO(ds)2LB/6CS,10840825009157,6/2 LB,$35.76,CS,BEVERAGE
"CAPP CARAMEL MACCH(d,s) 6/2LB",10078932203902,1/2 LB,$5.66,EA,BEVERAGE
CAPP CHOC HAZLNUT (ds) 2LB/6CS,10840825009126,6/2 LB,$63.67,CS,BEVERAGE
"CAPP CINNAMON DOLCE(d,s) 6/2LB",10840825030274,6/2 LB,$96.82,CS,BEVERAGE
CAPP CRML MACHIATO (ds)2LB/6CS,10840825009188,6/2 LB,$53.28,CS,BEVERAGE
CAPP DBL DUTCH CHOC(ds)2LB/6CS,10840825009140,6/2 LB,$55.81,CS,BEVERAGE
CAPP ENG TOFFEE SUP(ds)2LB/6CS,10840825009133,6/2 LB,$46.16,CS,BEVERAGE
CAPP ENGLISH TOFFEE (d) 6/2LB,10078932010890,1/2 LB,$9.39,EA,BEVERAGE
CAPP FR VAN FRZ MIX(d) 8/1.5LB,10840825030649,8/1.5 LB,$101.26,CS,BEVERAGE
"CAPP FR VAN SUPR (d,s) 6/2LB",10840825010542,6/2LB,$96.82,CS,BEVERAGE
"CAPP FR VANILLA (d,s) 2LB/6CS",10840825009096,6/2 LB,$56.54,CS,BEVERAGE
CAPP FR VANILLA (ds) 6/2LB,10078932010876,1/2 LB,$5.28,EA,BEVERAGE
CAPP FRCH VAN FF (ds) 2LB/6CS,10840825009119,6/2 LB,$44.78,CS,BEVERAGE
CAPP GSA COCONUT CRML(d) 6/2LB,,10410,$96.82,CS,BEVERAGE
CAPP HI REV MOCHA (ds) 6/2LB,10078932010920,1/2 LB,$5.83,EA,BEVERAGE
"CAPP HNY HAZLNT (d,s) 2LB/6CS",10840825010535,6/2LB,$96.82,CS,BEVERAGE
"CAPP IRISH CREAM (d,s) 2LB/6CS",10840825009201,6/2 LB,$55.63,CS,BEVERAGE
"CAPP MIX FR VAN (d,s) 6/2LB",10840825010528,6/2LB,$43.56,CS,BEVERAGE
CAPP MIX FR VAN (ds) 25CT/6CS,10840825000048,1/25 CT,$19.25,EA,BEVERAGE
"CAPP MOCHA (d,s) 6/2LB",10840825010559,6/2LB,$43.36,CS,BEVERAGE
CAPP MOCHA ALERT (ds) 2LB/6CS,10840825009218,6/2 LB,$46.72,CS,BEVERAGE
CAPP MOCHA FRZ MIX(d) 8/1.5 LB,10840825030632,8/1.5 LB,$84.74,CS,BEVERAGE
CAPP ORIGINAL SUP (ds) 2LB/6CS,10840825009164,6/2 LB,$58.53,CS,BEVERAGE
