Item Description,GTIN,Pack Type,Price,UOM,Category
"1,2,3 CLEAN TICK/TAB  60 CT",10754631600210,1/60 CT,$44.08,EA,SERVICE SUPPLIES
Bleach Liquid Disinfecting,10044600322510,12/24 oz,$40.27,CS,Soaps & Cleansers
Cleaner 409 Spray,10044600312207,9/32 oz,$38.88,CS,Soaps & Cleansers
CLEANER DECANTER 14OZ/12CS,10840825012386,1/14 OZ,$2.66,EA,SERVICE SUPPLIES
CLEANER DECANTER 20CT/5CS,20754631601658,1/20 CT,$8.23,EA,SERVICE SUPPLIES
CLEANER DEGRSR FLR DRN (FOG),00818760020509,4/1GAL,$103.73,CS,MISC
CLEANER DESCALER SUMA CAL-X,10807174548119,4/3.78LT,$95.22,CS,MISC.
CLEANER FLOOR PROMINENCE HD,10807174531371,2/2.5 LT,$136.25,CS,CLEANER
CLEANER FREEZER SUMA,10807174530671,4/1 GAL,$149.50,CS,LIQUID
CLEANER GLASS & MULTI GLANCE,10807174526742,2/84.5OZ,$55.29,CS,ALL PURPOSE
CLEANER GREASE SUMA DRAIN,10807174500018,4/1 GAL,$109.78,CS,POWDER
CLEANER GRL QUICKCLEAN PCKT,50048011296031,40/3.2 OZ,$41.22,CS,NON-CAUSTIC
CLEANER HVY DTY BREAK-UP SC,10807174527701,2/2.5LT,$91.27,CS,MISC
CLEANER OVEN & GRL SUMA D9,10807174527725,4/1 GAL,$117.69,CS,LIQUID
CLEANER OVEN GRILL HIGH TEMP,10807174544517,12/32 OZ,$200.38,CS,MISC
CLEANER OVEN LIQ FOAMFREE SUMA,10807174530947,12/32 OZ,$84.71,CS,LIQUID
CLEANER SANI-TEA 80/1.5 OZ,10094514100124,80/1.5 OZ,$51.53,CS,SERVICE SUPPLIES
CLEANER URN URNEX .75OZ/100CS,20754631600064,100/0.75 OZ,$13.80,CS,SERVICE SUPPLIES
COF CLNR SCHAERER TABS 100 CNT,07613159102216,1/100 CT,$21.47,EA,BREWERS
Deodorant Axe Men Invsible Sld,20079400551003,2/6/2.7 oz,$66.93,CS,Soaps & Cleansers
DETERGENT DISHWASH HND SUMA LT,10807174529354,4/3.78LT,$89.49,CS,LIQUID
DETERGENT LAUN CLX MICROW FRTE,00807174525885,1/22 LB,$161.19,CS,LIQUID
DETERGENT LIQ NOVA L6,10807174531517,4/1 GAL,$240.29,CS,LIQUID
Detergent Lndry Liq Pods Meado,00037000931201,6/16 ct,$37.86,CS,Soaps & Cleansers
DETERGENT MACH SUMA DIVERPAKP6,10807174535270,4/9 LB,$204.21,CS,LIQUID
DETERGENT POT & PAN SUMA PNCLN,10807174529903,2/84.5OZ,$45.51,CS,LIQUID
DETERGENT POWDER HD ALUPAK II,10807174531494,4/9 LB,$200.41,CS,POWDER
Gain Laundry Detergent Liquid,10037000127830,6/25 oz,$30.17,CS,Soaps & Cleansers
GRILL BRICK EA/12CS,10090415052388,12/1 EA,$3.40,EA,SERVICE SUPPLIES
HOLDER PAD MULTI-PURP QWIK CLN,00048011552194,1/EACH,$11.56,CS,MISC.
MOP HEAD COTTN CUT END #32,00074865683333,1/3 CT,$17.89,CS,WET MOP/CUT END
MOP HEAD CTN CUT END VALUE #24,00074865683296,1/3CT,$14.80,CS,WET MOP/CUT END
MOP HEAD CTN LRG CUT END 32 OZ,00074865683265,1/3 CT,$25.88,CS,WET MOP/CUT END
PAD GRIDDLE H/D QUICK CLEAN,50048011598173,15/EA,$14.41,CS,GRILL PADS
PAD GRIDDLE HVY DUTY,50048011082993,4/10 CT,$53.08,CS,GRILL PADS
PAD GRIDDLE POLISH 4X6,50048011199707,3/20 CT,$39.64,CS,GRILL PADS
PAD SCOUR COMM GEN PURP 6X9,50048011082931,3/20CT,$33.27,CS,PADS SCRUBBERS
PAD SCOUR XHV NYLON 3.5X6 BLUE,00074865283250,1/20 CT,$10.51,CS,PADS/SCRUBBERS
POLISH STNLS,10807174533689,6/946 ML,$113.68,CS,METAL
PRESOAK LIQ SUMA GLOSS K8,10807174547204,4/3.78LT,$176.19,CS,LIQUID
PRESOAK LIQ SUMA SHINE K-2,10807174532200,100/1 OZ,$74.45,CS,LIQUID
RINSE AID SUMA SELECT,10807174530039,4/1 GAL,$325.21,CS,LIQUID
SANITIZER CHLORINE LIQU-A-KLOR,10774205551250,4/1 GAL,$41.83,CS,LIQUID
SANITIZER LIQ J-512 J-FILL,10807174516729,2/84.5OZ,$59.42,CS,LIQUID
SANITIZER QUAT J-512,10807174516705,4/1 GAL,$97.21,CS,LIQUID
SCREEN GRIDDLE 4X5.5,50048011205071,10/20 CT,$44.20/$4.42,CS/EA,GRILL SCREENS
SCRUBBER GRIDDLE SCOTCHBRICK,00048011592039,12/4X6X3N,$48.59,CS,GRILL BRICKS
Shampoo Head   Shldr,00094187129524,36/2/1.7 oz,,CS/BX,Soaps & Cleansers
SOAP HAND & BDY FOAMING,10807174537229,6/1.3LT,$61.37,CS,MISC.
SOAP HAND FOAM SOFTCARE DEFEND,10807174537274,6/1.2 LT,$104.45,CS,REFILLS
Soap Soft Aquarium Series,10074182456365,6/7.5 oz,$10.84,CS,Soaps & Cleansers
Tide Pods Liquid Original,10037000930355,6/16 ct,$37.35,CS,Soaps & Cleansers
TOWEL WIPE SANITIZING NO R RED,20310819991050,6/95CT,$37.29,CS,SANI-CLOTH
WASH ANTIMICROBIAL FRT/VEG 4.5,10807174533320,2/84.5OZ,$112.18,CS,MISC
WIPE ANTIBACTERIAL PROBE,00070131991508,1/200CT,$12.95,CS,TOWELETTE MOIST
WIPE CLEANING MULTI SURFACE,20310819008505,12/90CT,$46.91,CS,WET WIPES
