Item Description,GTIN,Pack Type,Price,UOM,Category
Bag Paper Pickle,,1/1000 ct,$26.29,CS,Non-Foods
Bag Plain Quik Pak Cotton Cndy,,10/100 ct,$61.71,CS,Non-Foods
Bag Yellow 20x46,00000000204606,1/250 ct,$88.61,CS,Non-Foods
Box Popcorn  3,00022361879576,500/1.25 oz,$92.91,CS,Non-Foods
Cookie Birthday Cake,10013087243502,24/4 oz,$30.93,CS,Food Service
Cookie Dgh Otml Rsn Tff,10013087588030,240/1.33 oz,$83.45,CS,Food Service
Cup 16J16 Foam 16 Oz,10041594200107,40/25 ct,$64.24,CS,Non-Foods
Cup Cold 9oz Plastic,00041594442173,25/100 ct,$87.92,CS,Non-Foods
Dawn Soap Liquid Originl Scent,10037000451126,8/38 oz,$53.04,CS,Non-Foods
Dispenser Cutlery Tri Tower,10078731974195,1/1 ct,$0.01/$0.01,CS/EA,Non-Foods
Filter Coffee Machine,10850067000751,12/100 ct,$19.92,CS,Non-Foods
Lid 10oz Lift   Lock,00041594201367,1/1000 ct,$32.11,CS,Non-Foods
Lid 12 16 20oz Hot Traveler,00016194103601,1/1020 ct,$51.03,CS,Non-Foods
Lid 12oz Cappuccino White,00041594201121,10/100 ct,$48.85,CS,Non-Foods
Lid 12oz Lift n Lock Straw Slt,00041594200988,10/100 ct,$33.60,CS,Non-Foods
Lid D9542 Dome Whi 10 20 oz Ho,10078731986105,1/1000 ct,$37.51,CS,Non-Foods
Lid LCRDO022 12 24z DmeCld Clr,50794297705599,10/100 ct,$36.54,CS,Non-Foods
Lid LCRDO032 32z DmeCld w hole,50794297725009,10/100 ct,$87.57,CS,Non-Foods
Lid LCRS032 32z Cold Trnslcnt,50794297872376,10/100 ct,$37.82,CS,Non-Foods
Spoon Plas MW Hvy Blk PS,00078731888105,24/40 ct,$44.01,CS,Non-Foods
Straws Blue Freal,00813993009178,10/300/ct,$51.87/$5.19,CS/BX,Non-Foods
Tray Food 2 5lb Plain White,00017779090439,2/250 ct,$30.22,CS,Non-Foods
Tray Food 3lb Plain White,00017779090538,2/250 ct,$38.35,CS,Non-Foods
Water Lemon Blueberry PET,00850003748849,12/15.2 oz,$20.73,CS,Taxes
Water Probiotic Wtrmln Wld Bry,00851424008475,12/18 oz,$22.01,CS,Taxes
Wtr Probiotic Strawberry Lemon,00854651003800,12/18 oz,$22.01,CS,Taxes
