Item Description,GTIN,Pack Type,Price,UOM,Category
CALAMARI RING DIPT-N-DUSTED,10025753013913,6/2 LB,$134.75,CS,SQUID BREADED
CATFISH FIL SHANK BRD 4 OZ USA,10734730677177,1/15LB,$101.36,CS,CATFISH NAT BRD
CLAM CHOPPED OCEAN,10079212003069,12/51OZ,$159.27,CS,MISC.
COCONUT SHRIMP K800,00745378800004,100 / 0.85 OZ,$155.98,CS,PREPARED FOODS
COD BTRD PUB HSE 3-4 OZ,00028029357066,1/10LB,$95.19,CS,COD PAC BTTRD
CRAB IMIT FLK SURIMI W/O CRAB,10010887231883,4/2.5 LB,$37.03,CS,IMIT CRAB FLAKE
CRAWFISH TAIL MEAT 100/150,00040902338917,24/1 LB,$196.99/$8.21,CS/EA,CRAWFISH MEATS
FISH PACK 5/7 OZ IQF TILAPIA,00075391032435,1/10 LB,$52.44,CS,TILAPIA FILLETS
FLOUNDER FILET BRD RAW 4 OZ,00079149221669,1/10 LB,$62.33,CS,FLOUNDR NAT BRD
HADDOCK LOIN IQF 4 OZ,10035493802838,1/10 LB,$91.18,CS,HADDCK FLT PRTN
POLLOCK BRD PRCK RECT,10035493891467,1/10 LB,$52.21,CS,POL ATL BR PRCK
SALMON ATL PRTN BL/SL 4OZ FRO,10073538053241,1/10 LB,$128.23,CS,SALMON FLT PRTN
SALMON ATL PRTN BL/SL6OZ FRO,10073538053265,1/10 LB,$128.23,CS,SALMON FLT PRTN
SALMON LOIN PAC 4 OZ IQF,10035493502165,1/10 LB,$84.04,CS,SALMON FLT PRTN
SHRIMP BREADED OVN RDY BUFFALO,10035493883950,4/2.5 LB,$74.87,CS,SHRIMP MISC
SHRIMP WHT RAW 16-20CT,10073129118939,5/2 LB,$82.54,CS,MISC.
SHRIMP WHT RAW 21-25CT,10073129118946,5/2 LB,$75.35,CS,MISC.
SHRIMP WHT RAW 41-50 CT,10073129118977,5/2 LB,$71.14,CS,MISC.
SHRIMP WHT RAW 71-90 CT,10073129118984,5/2 LB,$68.51,CS,MISC.
SWAI FIL 3-5OZ 84% MOISTURE,00075391083253,1/15 LB,$54.72,CS,MISC.
TILAPIA FIL GARL/HERB PANSEARD,10035493593408,32/5 OZ,$88.78,CS,TILIPIA NAT BRD
TILAPIA FIL TRTLLA CRUSTED,10035493895267,1/10 LB.,$89.47,CS,MISC.
TILAPIA FILET IQF 3-5 OZ,00075391031230,1/10 LB,$50.50,CS,TILAPIA FILLETS
TUNA CHUNK SKIP JACK FAD FREE,10073600001422,6/66.5OZ,$91.45,CS,IMPORTED
