Item Description,GTIN,Pack Type,Price,UOM,Category
APPLE GRANNYSMITH SLI IQF,00074865870344,1/30 LB,$61.13,CS,IQF
APPLE SLICE IQF GOLDEN DELIC,70000000000009,1/40 LB,$44.07,CS,IQF
Aptz Cheese Stick Mozz Brd,00050665020462,6/4 lb,$92.95,CS,FROZEN GENERAL
ARTICHOKE BREADED PARMESAN K815,00745378815008,200 / 0.85 OZ,$224.11,CS,PREPARED FOODS
ASPARAGUS ASIAGO ROLL CRISPY K8608,00745378860800,1 / 200 CT,$205.89,CS,PREPARED FOODS
BANANA PLANTAIN FRZN SWEET SLI,00765744580415,4/6LB,$38.04,CS,MISC.
BANANA SLICE IQF CHEF RDY CUT,10071202161186,2/5 LB,$20.63,CS,BANANAS
Bar Frozen Chc Almond Sea Salt,10047677483979,12/5/1.6 oz,,CS,Ice Cream Products
BEAN BLK W/CORN FLM RST FIESTA,10071179777762,6/2.5 LB,$36.17,CS,PACKAGES
BEAN GREEN WHL POLY FROZ,10074865087411,12/2LB,$42.62,CS,WHOLE
BEAN LIMA BABY GR A P,10074865078426,12/2.5 LB,$61.99,CS,BABY LIMA
BEAN SOY EDAMAME SHELL OFF,00654156857881,24/16OZ,$58.98,CS,MISC.
BLACKBERRY IQF,10071202187117,2/5 LB,$46.40,CS,MISC
BLUEBERRY IQF,10071202117114,2/5 LB,$38.19,CS,PACKAGES
BONITO WHITE TUNA IN OLIVE OIL GLASS,38411320283036,12 / 220 GR,$184.64,CS,FISH & SHELLFISH
BROCCOLI CUTS POLY GR A,10074865423660,12/2.5 LB,$39.65,CS,CUTS
BROCCOLI SPEAR POLY GR A,10074865423646,12/2 LB,$32.03,CS,SPEARS
CAKE ANGEL FOOD,10032100075296,6/22 OZ,$44.30,CS,ROUND-UNICED
CAKE CARAMEL VAN CRNCH SLTD,10749017025480,2/14 CUT,$92.91,CS,ROUND-ICED
CAKE CARROT BIG LAYR UNSLICED,10749017011650,2/136 OZ,$131.90,CS,SPCLTY ITEMS
CAKE CARROT LAYR,00858921001107,"4/9""",$66.06,CS,MISC.
CAKE CHOC GANACHE 14 CUT,00811699013079,4/10 IN,$120.13,CS,ROUND-ICED
CAKE CHOC LAYR NSA 9,10032100071182,4/54 OZ,$119.52,CS,ROUND-ICED
CAKE CHOC MOLTEN BNDT,10749017014903,36/5OZ,$111.42,CS,SPCLTY ITEMS
CAKE CHOC MOLTEN LAVA,10770734850642,40/3.8 OZ,$75.52,CS,SPCLTY ITEMS
CAKE CHOC TORTE FLOURLS,10749017025442,"2/10""",$66.40,CS,ROUND-ICED
CAKE COFF SOUR CREAM 9 IN,10749017000197,4/54OZ,$106.10,CS,SPCLTY ITEMS
CAKE CREME ITAL,00811699010184,4/9 INCH,$66.06,CS,ROUND-ICED
CAKE LYR BLK FOREST 9,08116990108496,4/54 OZ,$66.06,CS,ROUND-ICED
CAKE LYR CHOC 12 SLI,10749017010738,2/133 OZ,$148.99,CS,SPCLTY ITEMS
CAKE LYR CHOC 14CT,10032100085585,4/53 OZ,$77.82,CS,ROUND-ICED
CAKE LYR RED VELVET 9 UNC,00811699010931,4/56OZ,$66.06,CS,ROUND-ICED
CAKE POUND,10032100082980,12/16 OZ,$71.14,CS,SPCLTY ITEMS
CAKE POUND SNAK PK,10032100086308,24/1.75OZ,$17.21,CS,SPCLTY ITEMS
CAKE RED VELVET BSTRO,10032100389058,24/2.5OZ,$41.51,CS,MISC.
CAKE SHEET BANANA 12X16,10032100082423,4/75 OZ,$79.92,CS,SHEET-ICED
CAKE SHEET SPONGE UNICED 12X16,10032100082409,4/44 OZ,$46.25,CS,SHEET-UNICED
CAKE SHEET TRES LECHES,00811699016889,2/92 OZ,$71.57,CS,FLAVORED
CAKE SHEET WHT ICED 12X16,10032100082515,4/76 OZ,$78.11,CS,SHEET-UNICED
CARROT DICED,00074865657457,1/30 LB,$38.89,CS,SLICED
CARROT SLI KK GR A P,10074865023815,12/2 LB,$30.52,CS,SLICED
CARROT WHL BABY GR A P,10074865023877,12/2 LB,$39.14,CS,WHOLE BABY
CAULIFLOWER IQF,10074865097052,12/2 LB,$35.81,CS,PACKAGES
CAULIFLOWER RICED IQF,10734730636174,6/4 LB,$56.42,CS,PACKAGES
CHEESECAKE ASST MINI,10889356152994,1/50 CT,$69.78,CS,COLD
CHEESECAKE BASQUE INDV,10749017034727,32/4.32Z,$89.30,CS,MISC.
CHEESECAKE BLUBRY WH CHOC 14SL,10749017031573,2/83 OZ,$91.09,CS,MISC.
CHEESECAKE FRCH CRM SHT 8X15,10032100080184,4/73OZ,$103.02,CS,FR CRM CHSE STY
CHEESECAKE FRCH CRM WHL 10 IN,10032100080764,8/42OZ,$110.48,CS,FR CRM CHSE STY
CHEESECAKE NEW YORK BIG BRULEE,10749017001866,2/87 OZ,$87.14,CS,FLAVORED
CHEESECAKE NEW YORK CRMY 16 CT,10032100080658,4/68 OZ,$105.97,CS,PLAIN
CHEESECAKE ORIG XANGO FRIED,10749017079445,48/4.3 OZ,$108.36,CS,PLAIN
CHEESECAKE PISTACHIO,00815073014713,1/16 SLI,$39.96,CS,MISC.
CHICKEN TENDER PECAN K2005,00745378200507,100 / 0.8 OZ,$121.86,CS,PREPARED FOODS
Churro Bites,10073321041851,1/500 ct,$58.50,CS,FROZEN-PREPARED
COBBLER APL HMSTYL TRAY,10032100054413,4/96 OZ,$50.32,CS,RAW
COBBLER BLKBRY HMSTYL TRAY,10032100054444,4/96 OZ,$59.93,CS,RAW
COBBLER CHERRY HMSTY 96 OZ,10032100054420,4/96 OZ,$62.90,CS,MISC.
COBBLER PEACH HMSTY 96 OZ,10032100054437,4/96 OZ,$55.37,CS,MISC.
COBBLER STWBRY,10032100054512,2/80 OZ,$31.48,CS,RAW
CORN COB PETITE NW GR A,00074865001113,1/96CT,$41.99,CS,COB
CORN WHL KERNEL,00074865633208,1/30LB,$40.91,CS,WHOLE KERNEL
CORN WHL KERNEL GR A,00074865633192,1/30LB,$43.62,CS,WHOLE KERNEL
CORN WHL KERNEL GR A P,10074865078440,12/2.5LB,$45.80,CS,WHOLE KERNEL
CORN WHL KERNEL SUPER SWEET,10055686700888,1/20 LB,$33.90,CS,WHOLE KERNEL
CUPCAKE ASST,10749017020904,8/4 CT,$69.89,CS,CUPCAKES
CUPCAKE CHOC GLUTEN FREE,00863882000229,32/3,$118.01,CS,CUPCAKES
Dbl Chocolate Display Mochi,10070934997797,24/1.5 oz,$20.59,CS,Ice Cream Products
FRANKS IN BLANKET K700,00745378700007,100 / 0.5 OZ,$69.96,CS,PREPARED FOODS
Giant Original Ice Cream Bar,00075856011470,24/5.5 oz,$29.70,CS,Ice Cream Products
GREEN COLLARD FZN,10074865528310,12/3 LB,$59.27,CS,GREEN
GREEN TURNIP CHOPPED FZN,10074865528426,12/3 LB,$56.60,CS,GREEN
HHS MOOSETRACKS CONE,56108,12/??oz,$5.92/$5.92,~Case???/Each,
HS 6 OZ CUP COOKIE N CREAM,56101,12/??oz,$5.28/$5.28,~Cs?63.36/Each,
HS 6 OZ CUP COTTON CANDY,943900,12/6ozCup,$63.36/$5.28,Case/Each,
HS 6 OZ STRAW SUNDAY,56103,12,$5.28/$5.28,~Cs?63.36/Each,
HS CHOC ECLAIR BAR,56104,,$2.32,EA,
HS GIANT ANDES MINT SAND,56105,24/?oz,$2.08/$2.08,~Case??/Each,
HS GIANT VANILLA SAND,56106,24/?oz,$2.08/$2.08,~Case???/Each,
HS INCREDIBLE CONE 60OZ???,56107,need pack type,$5.92/$5.92,~Case???/Each,
HS PB BROWNIE BATTERSAND,56109,12/?oz,$3.05/$3.05,~Case???/Each,
HS PB CHOC CHIP SAND,56110,24/?oz,$3.05/$3.05,~Case???/Each,
HS POLAR BLAST FRT JUC BR,56111,$19.44??,$0.54/$0.54,~Case/Each,
HS SILLY TUBE WILD MELON P/U,56112,24/oz?,$1.29/$1.29,~Case???/Each,
HS STRAW SHRTCK BAR,56113,24/?oz,$2.32/$2.32,~Case???/Each,
HS TROPL-KOOL STRAW FRT BR,56114,24/?oz,$1.89/$1.89,~Case???/Each,
HS TROPL-KOOLMANGO FRT BR,56115,,$1.89,EA,
IC Homemade VanBar 12ct NO UPC,20070640335019,9/2 oz,$48.13,CS,Ice Cream Products
IC Mini Swrl VanCone 8ct NOUPC,10070640010865,6/2.25 oz,$34.52,CS,Ice Cream Products
Ice Cream Americone Dream,10076840135551,12/4 oz,$16.91,CS,Ice Cream Products
Ice Cream Bar Babyruth,10070640025623,2/24/2.8 oz,$67.50,CS,Ice Cream Products
Ice Cream Bar Butterfinger,10070640025616,2/24/2.8 oz,$67.50,CS,Ice Cream Products
Ice Cream Bar Drumstick Van,10072554001601,24/4.6 oz,$44.70,CS,Ice Cream Products
Ice Cream Bar Milky Way,10047677485508,2/24/2.80 oz,$55.29/$27.65,CS/BX,Ice Cream Products
Ice Cream Bar Mini Dark Choc,10047677485263,8/7.2 oz,$33.97,CS,Ice Cream Products
Ice Cream Bar Oreo Single,00072554610691,15/2.75 oz,$27.94,CS,Ice Cream Products
Ice Cream Bar Snickers 5ct,10047677482927,12/10 oz,$45.00,CS,Ice Cream Products
Ice Cream Bar Snickers 6pk,10047677000510,12/2 oz,$44.60,CS,Ice Cream Products
Ice Cream Bar Snickers Kng Sz,10047677482484,2/24/2.8 oz,$55.29/$27.65,CS/BX,Ice Cream Products
Ice Cream Bar Spiderman,10077567003482,20/3.38 oz,$24.02,CS,Ice Cream Products
Ice Cream Bar Twix 5ct,10047677483719,12/9.4 oz,$45.00,CS,Ice Cream Products
Ice Cream Bar Van Choc Almond,00074570208821,12/3 oz,$33.23,CS,Ice Cream Products
Ice Cream Bar Van Mlk Chocolat,10047677482422,12/2.89 oz,$17.79,CS,Ice Cream Products
Ice Cream Bar Vanilla Chocolat,00074570470297,12/3 oz,$33.23,CS,Ice Cream Products
Ice Cream Butter Pecan,10074570114006,8/14 oz,$44.90,CS,Ice Cream Products
Ice Cream Caramel Cone,10074570650580,8/14 oz,$44.90,CS,Ice Cream Products
Ice Cream Caramel Sea Salt PT,10858089003156,8/16 oz,$49.02,CS,Ice Cream Products
Ice Cream Chocolate,10074570014009,8/14 oz,$44.90,CS,Ice Cream Products
Ice Cream Coffee,10074570034007,8/14 oz,$44.90/$5.61,CS/BX,Ice Cream Products
Ice Cream Cone Oreo 4ct,00072554233241,6/18.4 oz,$33.16,CS,Ice Cream Products
Ice Cream Cookie Chocolate Chp,10074570084064,8/14 oz,$44.90,CS,Ice Cream Products
Ice Cream Cookie Dough TollHse,00041548750170,8/14 oz,$20.78,CS,Ice Cream Products
Ice Cream Cookie N Cream,10074570274007,8/14 oz,$44.90,CS,Ice Cream Products
Ice Cream Cookies N Cream Sand,10070640310859,24/4.5 oz,$30.90,CS,Ice Cream Products
Ice Cream Cup Caramel Cone,10074570651686,12/3.6 oz,$17.50,CS,Ice Cream Products
Ice Cream Cup CC Cookie Dough,10076840200273,12/4 oz,$16.91,CS,Ice Cream Products
Ice Cream Cup Choc Fudg Brwnie,10076840200167,12/4 oz,$16.91,CS,Ice Cream Products
Ice Cream Cup Chocolate,10074570652058,12/3.6 oz,$17.50,CS,Ice Cream Products
Ice Cream Cup Coffee,10074570652034,12/3.6 oz,$17.50,CS,Ice Cream Products
Ice Cream Cup Dulce de Leche,00074570082056,12/3.6 oz,$17.50,CS,Ice Cream Products
Ice Cream Cup Strawberry,10074570651099,12/3.6 oz,$17.50,CS,Ice Cream Products
Ice Cream Cup Vanilla,10074570652041,12/3.6 oz,$17.50,CS,Ice Cream Products
Ice Cream Dulce de Leche,10074570810113,8/14 oz,$44.90,CS,Ice Cream Products
Ice Cream Half Bkd Pint,10076840101327,8/16 oz,$43.53,CS,Ice Cream Products
Ice Cream Kind Drk Choc PntBtr,10047677483955,2/24/1.6 oz,,CS,Ice Cream Products
Ice Cream King Straw Shortcake,10070640002495,24/4 oz,$26.60,CS,Ice Cream Products
Ice Cream Kit Kat,00041548244907,8/14 oz,$20.78,CS,Ice Cream Products
Ice Cream M M ChocCky Sandwich,10047677483252,24/4 oz,$31.47,CS,Ice Cream Products
Ice Cream M M Chocolate Pint,10047677485164,8/14 oz,$25.59,CS,Ice Cream Products
Ice Cream M M Cookie Sandwich,10047677483092,24/4 oz,$31.47,CS,Ice Cream Products
Ice Cream M M PB Sandwich,10047677485409,24/3.5 oz,$31.47,CS,Ice Cream Products
Ice Cream M M Sandwich Vnl 4pk,10047677500164,8/16 oz,,CS,Ice Cream Products
Ice Cream Mint Chocolate,00072830676045,8/16 oz,$33.21,CS,Ice Cream Products
Ice Cream Mudslide,00072830676199,8/16 oz,$33.21,CS,Ice Cream Products
Ice Cream Oatmeal Cookie Pint,10858089003217,8/16 oz,$49.02,CS,Ice Cream Products
Ice Cream Peanut Butter Cup,10858089003224,8/16 oz,$49.02,CS,Ice Cream Products
Ice Cream Peanut Crnchy Butter,10047677500102,48/2.62 oz,$55.29,CS,Ice Cream Products
Ice Cream Pop Cherry Lemon,10070640025531,24/3 oz,,CS,Ice Cream Products
Ice Cream Red Velvet Pint,10858089003224,8/16 oz,$49.02,CS,Ice Cream Products
Ice Cream Sandwich Bg Miss Mud,00070640450046,24/6 oz,$24.56,CS,Ice Cream Products
Ice Cream Sandwich Big Neopltn,00070640450039,24/6 oz,$24.56,CS,Ice Cream Products
Ice Cream Sandwich Chps Galore,00070640310821,24/4.5 oz,$30.90,CS,Ice Cream Products
Ice Cream Sandwich KS,10072554110938,3/24/6 oz,$104.99/$35.00,CS/BX,Ice Cream Products
Ice Cream Sandwich Vanilla,00070640450022,24/6 oz,$24.56,CS,Ice Cream Products
Ice Cream Sea Salt Honey,00072830676427,8/16 oz,$33.21,CS,Ice Cream Products
Ice Cream Snickers Pint,10047677485126,8/14 oz,$25.59,CS,Ice Cream Products
Ice Cream Strawberry,10074570024008,8/14 oz,$44.90,CS,Ice Cream Products
Ice Cream Twix Bar KS,10047677474205,2/24/3 oz,$55.29/$27.65,CS/BX,Ice Cream Products
Ice Cream Twix Bar Vanilla 6pk,10047677301235,12/1.93 oz,$53.82,CS,Ice Cream Products
Ice Cream Twix Pint,10047677485140,8/14 oz,$25.59,CS,Ice Cream Products
Ice Cream Vanilla,10074570004000,8/14 oz,$44.90,CS,Ice Cream Products
Ice Cream Vanilla Bean,00072830676144,8/16 oz,$33.21,CS,Ice Cream Products
Ice Cream Vanilla Cone,00070640400782,24/4.6 oz,$30.05,CS,Ice Cream Products
Ice Cream Vanilla Crnch Bite,00041548405490,16/4 oz,$44.31,CS,Ice Cream Products
Ice Crm Cone Vanilla W  Choc,10072554218603,12/7.5 oz,$33.23,CS,Ice Cream Products
Ice Crm Sandwich Tollhouse CC,10050000235008,12/6 oz,$33.23,CS,Ice Cream Products
Lemonade Soft FZ,10025000065993,12/12 oz,$19.53,CS,Miscellaneous
MANGO CHUNK,10071202105111,2/5 LB,$34.30,CS,CHUNKS
MANGO CHUNK IQF,10071202105173,1/20LB,$67.03,CS,CHUNKS
MARS DOVE ALMOND BAR,56207,,$5.33,EA,
MARS DOVE VANILLA BAR,56209,,$5.33,EA,
MARS SNICKER BAR,56208,,$3.78,EA,
Milk Shake Strwbry Shortcake,10813993007058,12/12 oz,$28.91,CS,Ice Cream Products
Milkshake Chocolate Chill,00813993000540,12/8 oz,$28.91,CS,Ice Cream Products
Milkshake Coconut Caramel CKie,10813993000585,12/8 oz,$28.91,CS,Ice Cream Products
Milkshake Cool Mint Chip,00913993001841,12/8 oz,$28.91,CS,Ice Cream Products
