Item Description,GTIN,Pack Type,Price,UOM,Category
32oz  cups,921203,15slvsOf25,$206.25/$0.55,CASE/Each,
CUP - 12oz  Souvenir *,921201,500/1,$145.00/$0.29,Case/Each,
CUP - 32oz - All Sports Souvenir *,921204,375/1,$206.25/$0.55,Case/Each,
CUP - 32oz - Fertitta Souvenir *,921205,375/1,$206.25/$0.55,Case/Each,
CUP - 32oz - Football Souvenir *,921206,375/1,$206.25/$0.55,Case/Each,
Margarita yard,921208,,$1.50,1,
Popcorn Bucket Basketball.,921210,60/10\6,$2.20/$2.20,Case($132)/Each,
Popcorn Bucket New,921209,100\1,$246.00/$2.46,Case/Each,
UH Blue CC Cups 16OZ,921207,20slvsOf25,$295.00/$0.59,Case/Each,
UH Red CC Cup 16 oz,,20slvsOf25,$295.00/$0.59,Case/Each,
