Item Description,GTIN,Pack Type,Price,UOM,Category
100 Grand Single Sticks,10099900715067,12/36/1.5 oz,$510.84/$42.57,CS/BX,Singles-Chocolate
3 Musketeers 2 To Go,10040000246036,6/24/3.28 oz,$304.51/$50.75,CS/BX,Big Block/King Size
3 Musketeers Singles,10040000422089,10/36/1.92 oz,$442.03/$44.20,CS/BX,Singles-Chocolate
3 Musketeers Singles Vend,10040000532887,10/36/1.92 oz,$431.80/$43.18,CS/BX,Singles-Chocolate
5th Ave Standard Brand,20034000155037,24/18/2 oz,$564.82/$23.53,CS/BX,Singles-Chocolate
AirHeads Bar Assorted 5 Pack,00073390610982,8/18/2.75 oz,$158.81/$19.85,CS/BX,Singles-Non-Chocolat
Airheads Bites Peg Bag,00073390672065,12/6 oz,$22.92,CS,Singles - No UPC
Airheads Bites Stand Up Bag,00073390672171,12/9 oz,$31.93,CS,Count Goods
Airheads Fruit Bites Bag,00073390672041,8/18/2 oz,$158.81/$19.85,CS/BX,Singles - No UPC
AirHeads Soft Bites Peg Bag,00073390678524,12/6 oz,$22.92,CS,Bag Candy
AirHeads Sourfuls Xtremes,00073390678678,12/6 oz,$22.92,CS,Bag Candy
AirHeads Theater Box,00073390610418,12/3.3 oz,$14.19,CS,Concessions
AirHeads Xtreme Bts RnbwBrry,00073390678371,12/3.8 oz,$14.19,CS,Miscellaneous
AirHeads Xtreme Rainbow Belts,00073390670757,12/12/3 oz,$185.00/$15.42,CS/BX,Singles-Non-Chocolat
AirHeads Xtreme Sour Belt Tray,00073390677190,12/18/2 oz,$238.21/$19.85,CS/BX,Miscellaneous
AirHeads Xtremes Rainbow Berry,00073390678388,12/6 oz,$22.92,CS,Bag Candy
AirHeads Xtrms Bts Rainbow Bry,00073390678449,8/18/2 oz,$158.81/$19.85,CS/BX,Seasonal
ALMOND BLANCHED SLICED,10074865320655,3/2LB,$60.59,CS,ALMONDS
ALMOND BLANCHED SLIVERED RAW,10074865112601,3/2LB,$59.54,CS,ALMONDS
Almond Bold Elote,10041570148942,10/8/4 oz,$211.30/$21.13,CS/BX,Nuts
Almond Classic Dry Roast Sltd,10072238041848,30/1.5 oz,$39.57,CS,Nuts
Almond Cocoa Mini,00851562008061,24/.46 oz,$19.90,CS,Nuts
Almond Cream Brulee,10072238040490,30/1.5 oz,$39.57,CS,Nuts
Almond Dark Choc Coated,10824295134373,14/2 oz,$31.34,CS,Bagged Vend Size
Almond Dark Choc Coated,10824295134373,14/2 oz,$32.02,CS,Bagged Vend Size
Almond Dipped Lemon Bliss Skny,10851562008037,10/3.5 oz,$40.16,CS,Nuts
Almond Dipped Peanut Butter,10866515000372,10/3.5 oz,$40.16,CS,Nuts
Almond Honey Roasted,10041570148607,6/12 oz,$44.70,CS,Nuts
Almond Hot Honey,10041570152505,12/12/1.5 oz,$156.91,CS,Nuts
Almond Joy King Size,20034000052206,8/18/3.2 oz,$329.07/$41.13,CS/BX,Concessions
Almond Joy Snack Size,10034000020406,12/11.3 oz,$68.35,CS,Count Goods
Almond Lemon Bliss,20851562008607,40/1.2 oz,$66.33,CS,Nuts
Almond Lemon Bliss Skinny Dipp,10851562008358,24/.46 oz,$19.90,CS,Nuts
Almond Mix Mango Tango,10848996000379,12/9/1.5 oz,$162.45/$13.54,CS/BX,Nuts
Almond Peanut Butter Dipped,20851562008386,40/1.2 oz,$66.33,CS,Nuts
Almond Spicy Dill Pickle,10041570143589,12/12/1.5 oz,$156.91,CS,Nuts
Almonds Berry Macaroon Mix,30893869003616,18/1.5 oz,$27.66,CS,Nuts
Almonds Berry Macaroon Mix,10848996000133,12/9/1.5 oz,$162.45/$13.54,CS/BX,Nuts
Almonds Berry Macaroon Mix,30893869003616,18/1.5 oz,$27.08,CS,Nuts
Almonds California,10848996000188,12/9/1.5 oz,$162.45/$13.54,CS/BX,Nuts
Almonds California Dry Roasted,30893869003296,18/1.5 oz,$27.66,CS,Nuts
Almonds California Dry Roasted,30893869003296,18/1.5 oz,$27.08,CS,Nuts
Almonds Chocolate Dark Cocoa,20851562008379,40/1.2 oz,$66.33,CS,Nuts
Almonds Chocolate Tuxedo,10034856006937,48/3.5 oz,$91.68,CS,Bag Candy
Almonds Cocoa Skinny Dipped,10861297000305,10/3.5 oz,$40.16,CS,Nuts
Almonds Dark Chocolate,10824295136629,30/2 oz,$64.31,CS,Nuts
Almonds Dipped Lemon Greek,10851562008037,10/3.5 oz,$40.16,CS,Nuts
Almonds Honey Glazed Mix,30893869003272,18/1.5 oz,$27.66,CS,Nuts
Almonds Honey Glazed Mix,30893869003272,18/1.5 oz,$27.08,CS,Nuts
Almonds Milk Chocolate,10034856126918,12/5 oz,$34.11,CS,Box Candy
Almonds Mix Mango Tango,30893869003593,18/1.5 oz,$27.66,CS,Nuts
Almonds Mix Mango Tango,30893869003593,18/1.5 oz,$27.08,CS,Nuts
Almonds Premium,00028400106085,6/8/2.25 oz,$103.28/$17.21,CS/BX,Nuts
Almonds Salted,10077034084495,12/3 oz,$38.37,CS,Nuts
Almonds w Cranberries Honey SS,10848996000102,12/9/1.5 oz,$162.45/$13.54,CS/BX,Nuts
Almonds W Crnbrry Hny Sea Salt,00893869005183,6/4 oz,$24.45,CS,Nuts
Almonds Whole Natural 100 cal,00415700537990,6/7/.0625 oz,$18.68/$3.11,CS/BX,Nuts
Amino Energy Sparkling Cherry,60748927062733,12/12 oz,$19.54,CS,Miscellaneous
Amino Energy Sprklng Orange,60748927066007,12/12 oz,,CS,Miscellaneous
Amino Enrgy Sprklng Mngo Pnppl,60748927062740,12/12 oz,$19.54,CS,Miscellaneous
ANDOUILLE EN CROUTE K706,00745378706009,200 / 1.1 OZ,$238.42,CS,PREPARED FOODS
Andy Capp Hot Fries,20026200496140,12/3 oz,$11.43,CS,Bagged Vend Size
APPLE SLICE IN WATER,10024000249761,6/#10CAN,$60.69,CS,SLICED/RINGS
Apples 2 The Core,10185889000666,12/2.8 oz,$40.37,CS,Miscellaneous Snack
Apples 2 The Core,10185889000666,12/2.8 oz,$39.52,CS,Miscellaneous Snack
Applesauce Apple Cinnamon,20848860043317,2/20/3.2 oz,$29.14,CS,Singles-Non-Chocolat
Applesauce Cinnamon GoGo Sqz,00848860001825,18/3.2 oz,$14.48,CS,Snak-Pak (Fruit&Pud)
Applesauce Cinnamon GoGo Sqz,00848860001825,18/3.2 oz,$14.18,CS,Snak-Pak (Fruit&Pud)
Applesauce GoGo Squeeze,00848860000552,18/3.2 oz,$14.48,CS,Snak-Pak (Fruit&Pud)
Applesauce GoGo Squeeze,00848860000552,18/3.2 oz,$14.18,CS,Snak-Pak (Fruit&Pud)
Applesauce Jar PET,00014800001853,12/1/24 oz,$28.32,CS,General Grocery
APPLESAUCE NAT PCH SNCK&GO LS,00014800103151,48/3.2 OZ,$29.06,CS,MISC.
APPLESAUCE NATURAL,00014800001907,8/46OZ,$32.08,CS,UNSWEETENED
APPLESAUCE NATURAL,00014800003260,72/4.5 OZ,$28.12,CS,UNSWEETENED
APPLESAUCE ORIG TRAY PK 4 OZ,10014800000105,6/12CT,$32.63,CS,FLAVORED
APPLESAUCE ORIGINAL PET,00014800001884,8/48 OZ.,$28.45,CS,SWEETENED
APRICOT DRIED WHL TURKISH #4,00687080004946,1/5 LB,$83.33,CS,APRICOTS
APRICOT HVS PLD IN FRUIT JUICE,10078982616004,6/#10,$82.20,CS,IMPORTED
ARANCINI RSTD TOM BASIL MASCARPONE K8143,00745378814308,180 / 0.85 OZ,$156.86,CS,PREPARED FOODS
