Item Description,GTIN,Pack Type,Price,UOM,Category
Advil Liquid Gel 3 Dose,20366715975205,96/6 ct,"$1,127.92/$11.75",CS/BX,Health & Beauty Aids
Advil Pain Relief 3 Dose,20366715970033,96/6/6 ct,"$1,054.94/$10.99",CS/BX,Health & Beauty Aids
Advil PM 3 Dose,20366715973331,96/6/6 ct,"$1,161.10/$12.09",CS/BX,Health & Beauty Aids
Afrin Nasal Spray,20792554701635,8/6/6 ml,$219.51/$27.44,CS/BX,Health & Beauty Aids
Aleve Pain Reliever 3 Dose,20366715970231,96/6/3 ct,"$1,108.01/$11.54",CS/BX,Health & Beauty Aids
Alk Seltzer Plus Cold Formula,20366715973126,96/6/4 ct,"$1,340.24/$13.96",CS/BX,Health & Beauty Aids
Always Linner Thin Unscented,00037000082798,12/2/20 ct,$27.65,CS,Health & Beauty Aids
Antiperspirant Lady Spd Stick,10022200962992,12/1.4 oz,$24.71/$2.06,CS/BX,Health & Beauty Aids
Band Aid Bandage Travel,00381370057536,6/12/8 ct,$53.82/$8.97,CS/BX,Health & Beauty Aids
Bayer Aspirin 2 Dose,20366715972624,96/6/4 ct,$570.60/$5.94,CS/BX,Health & Beauty Aids
Benadryl Allergy 3 Dose,20366715970637,96/6/6 ct,"$1,320.34/$13.75",CS/BX,Health & Beauty Aids
Benadryl Allergy Tablets,10312547170311,4/6/24 ct,$141.76/$35.44,CS/BX,Health & Beauty Aids
Brush Professional Vent,20792554102074,12/4 ct,$150.95/$12.58,CS/BX,Health & Beauty Aids
Claritin N Drwsy 1 Dose,20366715973218,96/6 ct,"$1,545.92/$16.10",CS/BX,Health & Beauty Aids
Clear Eyes Solution  2oz,00094187111390,22/6 ct,,CS/BX,Health & Beauty Aids
Clipper Finger Nail,00792554114004,12/12/1 ct,$174.17/$14.51,CS/BX,Health & Beauty Aids
Comb Pocket Peg,20792554742003,8/6/1 ct,$30.42/$3.80,CS/BX,Health & Beauty Aids
Cotton Swabs,20792554742393,6/6/36 ct,$44.38/$7.40,CS/BX,Health & Beauty Aids
Cough Drops Natural Herb 10ct,20036602649716,1/12 PC,$17.94,CS,Health & Beauty Aids
Crest Toothpaste   Toothbrush,00792554721158,12/4/.85 oz,$83.49/$6.96,CS/BX,Health & Beauty Aids
Dayquil Original Liquid 8 oz,10323900014357,12/8 oz,$117.20/$9.77,CS/BX,Health & Beauty Aids
Dayquil Severe 4ct,20366715980421,96/6 ct,"$1,333.59/$13.89",CS/BX,Health & Beauty Aids
Deluxe Shaving Kit,00792554721042,12/4/12/4,$152.05/$12.67,CS/BX,Health & Beauty Aids
Deodorant Invsbl Solid Pwd Frs,10037000123313,2/6/1.6 oz,$38.38,CS,Health & Beauty Aids
Deodorant Ldy Spd Stk In Dr Pd,10022200963692,12/1.4 oz,$24.71/$2.06,CS/BX,Health & Beauty Aids
Deodorant Old Spice,00792554721615,12/4/.5 oz,$151.50/$12.63,CS/BX,Health & Beauty Aids
Deodorant Secret  5 oz,00792554721622,12/4/.5 oz,$157.03/$13.09,CS/BX,Health & Beauty Aids
Deodorant Speed Stik Actv Frsh,10022200940211,2/6/1.8 oz,$28.83,CS,Health & Beauty Aids
Emergen C Orange,20792554780029,48/6/2 ct,$464.44/$9.68,CS/BX,Health & Beauty Aids
Emery Board,00792554114059,12/12/10 ct,$195.72/$16.31,CS/BX,Health & Beauty Aids
Excedrin Extra Strength 24ct,10300672000245,8/3 ct,$126.37/$15.80,CS/BX,Health & Beauty Aids
Exedrin Extra Strength 3 Dose,20366715971009,96/6/6 ct,"$1,141.19/$11.89",CS/BX,Health & Beauty Aids
Eye Drop Clear,20792554700997,24/6/.5 oz,$661.72/$27.57,CS/BX,Health & Beauty Aids
Eye Mask Rejuvenating,10792850902647,8/6/.26 oz,$104.47/$13.06,CS/BX,Health & Beauty Aids
Facial Towelettes Coconut 10ct,10792850904023,4/8/10 ct,$57.99/$14.50,CS/BX,Health & Beauty Aids
Floss Toothpick Cool Mint,10047701110802,36/20 ct,$39.40,CS,Health & Beauty Aids
Hair Spray,00792554721080,12/4/2 oz,$161.45/$13.45,CS/BX,Health & Beauty Aids
Hairspray Aerosol Extra Hold,00022400640150,6/11 oz,$45.29/$7.55,CS/BX,Health & Beauty Aids
Halls Honey Lemon Bag,00312546621831,4/12/30 ct,$115.15/$28.79,CS/BX,Health & Beauty Aids
Lip Balm Beeswax Blister Peg,10792850896083,8/6/.15 oz,$114.68/$14.34,CS/BX,Health & Beauty Aids
Lip Balm Classic,00094187113929,24/6/.15 oz,,CS/BX,Health & Beauty Aids
Listerine Cool Mint 8 5 oz,00312547440431,6/8.5 oz,$23.16,CS,Health & Beauty Aids
Lotion Hand   Body Aloe Soothe,10305213084005,6/10 oz,$28.31,CS,Health & Beauty Aids
Lotion Peg,20792554703202,12/4/1 oz,$104.51/$8.71,CS/BX,Health & Beauty Aids
Mask Cucumber Soothing Sheet,10792850910727,8/6 ct,$104.47/$13.06,CS/BX,Health & Beauty Aids
Midol Female Pain Relief 2Dose,20366715974529,96/6 ct,$995.22/$10.37,CS/BX,Health & Beauty Aids
Motrin Caplets 3 Dose,20366715971238,96/6/6 ct,"$1,094.75/$11.40",CS/BX,Health & Beauty Aids
Mouthwash Peg,20792554700706,12/4/1.5 oz,$72.99/$6.08,CS/BX,Health & Beauty Aids
Mucinex DM Tablet 2 Dose,20366715972419,96/6/2 ct,"$1,340.24/$13.96",CS/BX,Health & Beauty Aids
Nyquil Liquicaps 16ct,10323900014395,4/6/16 ct,$233.52/$58.38,CS/BX,Health & Beauty Aids
Nyquil Severe 4ct,20366715980520,96/6 ct,"$1,333.59/$13.89",CS/BX,Health & Beauty Aids
Pad W Wings Ultra Thin,00030772128527,12/22 ct,$63.09,CS,Health & Beauty Aids
Pepto Bismol Chewable 3 Dose,20366715972334,96/6/6 ct,"$1,253.98/$13.06",CS/BX,Health & Beauty Aids
Pepto Bismol Original Liquid,00301490100004,12/4 oz,$40.74/$3.40,CS/BX,Health & Beauty Aids
Purell Hand Sanitizer 1oz,10073852013839,12/6 ct,$167.53/$13.96,CS/BX,Health & Beauty Aids
