Item Description,GTIN,Pack Type,Price,UOM,Category
1L Teremana Blanco,0,6,$30.20,each,
BRB - Jack Daniels Black,628201,bottle,$25.94/$25.94,1L/.,
BRB - Jim Beam,628202,bottle,$20.28/$20.28,1L/.,
BRB - Knob Creek,628203,bottle,$37.77/$37.77,1L/.,
BRB - Maker's Mark,628204,bottle,$33.51/$33.51,1L/.,
CRD - Baileys 1L,628206,1,$36.32,each,
CRD - Disaronno 1L,628207,1,$34.60,each,
CRD - Dolfi Blackberry Liqueur 750ml,628208,1,$15.55,`12/cs,
CRD - Grand Marnier 1L,628209,1,$36.89,each,
CRD - Kahlua 1L,628210,1,$29.77,each,
CRD - Triple Sec,628211,Bottle,$3.61,each,
Cutwater,933411,16/oz? Cans???,$47.20/$2.95,Case/Each,
Cutwater Strawberry,933412,24/12oz CAN?,$2.95/$2.95,~Case???/Each,
Cutwater Tequila Paloma,933413,24/12oz CAN?,$2.95/$2.95,~Case???/Each,
GIN - Beefeater 1L,628212,1,$27.82,each,
GIN - Bombay Dry 1L,628213,1,$23.82,each,
GIN - Bombay Sapphire,629214,Bottle,$30.83/$30.83,1L/~750ml??,
GIN - Botanist 750ml,628215,1,$36.65,1,
GIN - Seersucker 1.75L,628217,1,$33.59,1,
GIN - Seersucker 750ml,628218,1,$19.99,1,
GIN - Seersucker Grapefruit,628218,1,$19.94,1,
GIN - Tanqueray #10 1L,628219,,$39.99,1,
GIN - Tanqueray 1L,628219,,$29.94,1,
HENNESSY,628389,,$48.89,EA,
INDUSTRY TEQ,,,$4.00,EA,
INDUSTRY VODKA,628220,1,$4.00,EA,
INDUSTRY WHISKEY,628221,,$4.00,EA,
Kahlua 750ml,,,$22.76,1,
lWSK - Crown Royal Canadian 750m,628245,1,$26.46,1,
Mx - Martini & Rossi Vermouth - Extra Dry,515416,6/ca,$9.79,each,
MX - Martini & Rossi® Rosso Vermouth,515435,12,$12.16,1,
nutri,433477,,$1.81,1,
nutrl 24oz orange,,,$31.68/$2.64,cs/ea,
Nutrl Orange 12oz CAN,933421,24/12oz CAN,$46.80/$1.95,Case/Each,
Nutrl Pineapple 12oz CAN,933422,24/12oz CAN,$46.80/$1.95,Case/Each,
Nutrl Pineapple 24oz CAN,933423,12/24oz CAN,$31.68/$2.64,CS/EA,
Nutrl Watermelon 12oz CAN,933424,24/12oz CAN,$46.80/$1.95,Case/Each,
NUTRL WATERMELON 25OZ,533476,,$31.68/$2.64,CS/EA,
plantation,921289,12/ca,$28.43,1,
RIO AGAVE RANCH WATER LIME,933426,4,$62.70/$2.62,CS/EA,
Rio Agave Rio Grande Valley Texas Lime,933426,24/12oz CAN,$62.88/$2.62,24/1,
Rio Agave Spicy Watermelon,933427,24/12oz CAN,$62.98/$2.68,cs/ea,
Rio Agave Texas Fredericksburg Peach,933428,24/12oz CAN,$62.88/$2.62,24/1,
RUM - Bacardi 1L,628222,1,$16.27,liter,
RUM - Bacardi Light 1L,628223,1,$16.59,1,
RUM - Bacardi Superior 1.75L,628223,1,$20.47,1,
RUM - Bacardi Superior Rum 750mL,628223,1,$12.97,1,
RUM - Captain Morgan Spiced 1L,628224,1,$19.57,1,
RUM - Malibu 1L,628225,1,$21.18,1,
SCT - Dewar's 1L,628226,1,$27.84,each,
SCT - Glenlivet 12YR 1L,628227,1,$60.89,each,
SCT - J. Walker Black 1L,628228,1,$44.23,1,
SCT - J. Walker Red 1L,628229,1,$30.54,1,
TEQ - Dulce Vida Grapefruit 750mL,628230,1,$20.00,1,
TEQ - Dulce Vida Lime 750mL,628231,1,$19.44,1,
TEQ - Espolon Blanco 750mL,628236,1,$22.24,1,
TEQ - Jose Cuervo Gold 1.75L,628233,1,$19.43,1,
TEQ - Patron Anejo 750mL,628232,1,$56.53,1,
TEQ - PATRON SILVER 750mL,628232,1,$43.86,1,
TEQ - Rio Agava 1L,628234,1,$29.63,EA,
TEQ - Rio Agave 750mL,628234,1,$29.63,1 ea,
TEQ - Suaza Silver 1L,628235,1,$15.05,1,
TEQ - Teremana  (Resado) 750mL,628236,1,$29.50,ea,
VOD - Chopin 1L,628237,1,$30.11,1,
VOD - Cinco 1L,628244,1,$15.89,1,
VOD - Frio River 1L,628238,1,$14.73,EA,
VOD - Frio River 750mL,628239,1,$11.84,1,
VOD - GREY GOOSE 1L,628240,1,$34.28,1,
VOD - Grey Goose 750mL,628240,1,$26.99,1,
VOD - Ketel One Liter,628242,1,$29.89,each,
VOD - Smirnoff 1L,628241,1,$16.94,1,
VOD - Thoroughbred 1L,628242,1,$23.99,each,
VOD - Tito's Vodka 1L,628243,1,$22.62,1,
WSK - Crown Royal Apple 1L,628244,1,$34.32,1,
WSK - Crown Royal Canadian 1.75L,628245,1,$50.55,1,
WSK - Crown Royal Canadian LTR,628245,1,$32.52,1,
WSK - FW 1998,628246,1,$36.67,each,
WSK - Jack Daniels 1L,628247,1,$22.61,1,
WSK - Jameson 1L,628248,1,$37.07,1,
WSK - McCallan 750mL,628252,1,$73.33,1,
WSK - Seagram's 7 1L,628249,1,$17.76,1,
yellow rose blended,628250,,$26.16,each,
Yellow Rose Bourbon Prem. LTR,628251,,$48.67,1,
yellow rose outlaw,628253,,$48.97,each,
yellow rose rye,628253,,$35.70,each,
