Item Description,GTIN,Pack Type,Price,UOM,Category
80/2oz beef grnd pty,0,80/2oz,$47.91,cs,
BACON CANADIAN SLI .75 OZ FRZN,10070247821499,6/2 LB,$56.22,CS,CANADIAN
BACON LAYFLAT APL GHP 14/17 GF,20070100065241,1/15 LB,$83.96,CS,LAY FLAT
BACON LAYFLAT PRCK,10070247172331,2/150SLI,$38.25,CS,LAY FLAT
BACON LAYOUT HCK SMK 18/22 GHP,20070100065401,1/15 LB,$76.61,CS,LAY FLAT
BACON PRECOOKED BACON1 18/22,10037600201749,1/288 CT,$114.95,CS,PRECOOKED SLI
BACON PRECOOKED BCN1 20/24,10037600861967,288/SLICE,$99.49,CS,PRECOOKED SLI
BACON TOPPING FULLY CKD,10043200126177,2/5 LB,$59.28,CS,BITS - PURE
BACON TURKEY LAYFLT,90022655303025,2/6 LB,$43.61,CS,PKD CURED
BACON WRAPPED SCALLOPS K625,00745378625003,100 / .75 OZ,$143.43,CS,PREPARED FOODS
Bar Peanut Butter   Berry Jam,00829262001033,4/12/2.5 oz,$95.51,CS,Snacks
Beef   Pork Stick Original,00606274329191,192/.5 oz,$138.72,CS,Meat Snacks
BEEF BARBACOA CAFE H MEX/SHRED,90037600491405,4/5# AVG,$8.25,CS,CHOPPD & FORMED
BEEF BONE FEMUR MARROW SIZED,70000000000009,1/10#AVG,$4.44,CS,MISC.
BEEF BRISKET BBQ SMK WHL,90037600146022,2/7#AVG,$12.16,CS,ROAST BEEF
BEEF BRISKET DCKL- OFF 120,90027182009365,5/10#UP,$5.21,CS,PREM BOX BEEF
BEEF BRISKET PIT SMK PULLED,10037600097243,2/5 LB,$129.67,CS,BEEF - MISC FR
BEEF BRISKET SLI,90037600390296,2/7#AVG,$13.05,CS,ROAST BEEF
BEEF CHUCK FLAP MEAT WHL,70000000000009,15/1.5#AV,$12.60,CS,SMALL BOX OTHER
BEEF CORNED BRSKT RAW CH,00025688180868,2/15-19#,$7.57,CS,CAB BRISKET
BEEF CORNED BTM RND FLT CKD 15,90074865755149,3/5-9#,$7.73,CS,SEL BTM ROUND
BEEF CORNED BTM RND FLT CKD DF,90037600133572,2/6#AVG,$7.98,CS,NR BTM ROUND
BEEF EYE OF RND 171C,90027182009327,12/4-5AV,$6.05,CS,PREM BOX BEEF
BEEF FLANK STEAK CH 3PK 6EA,90074865686382,3/11#AVG,$9.00,CS,BUTCHER BLOCK
BEEF FOR STEW 135A 3/4 - 1 1/2,10012724014406,2/5 LB,$77.63,CS,STEAKS
BEEF FOR STEW 1\2IN SWT FRZN,90889356153959,2/5 LB,$4.69,CS,BEEF - MISC FR
BEEF FRITTER RAW,00880760010224,40/4 OZ,$52.46,CS,CHOPPED/FORMED
BEEF FRITTER TX STY BRD,00074865402149,40/4 OZ,$53.01,CS,CHOPPED/FORMED
BEEF GRND BULK 80/20 HMBRGR,10074624014047,4/5 LB,$108.32,CS,BULK GRND BEEF
BEEF GRND LOAF 80/20 FRSH,00023964991108,4/5 LB,$106.70,CS,BEEF PATTIES
BEEF GRND PTY PURE 75/25 HALAL,10079821120157,40/4 OZ,$77.98,CS,75/25
BEEF GROUND BULK 78/22,10012724499692,4/10 LB,$220.16,CS,PLANTBASED BEEF
BEEF GROUND PATTY 75/25,10810663006212,115/2.8 OZ,$108.00,CS,75/25
Beef Jalapeno Stick,00856584004251,6/24/1.15 oz,$291.65/$48.61,CS/BX,Meat Snacks
Beef Jalapeno Stick,10854837006509,6/18/1 oz,$168.85/$28.14,CS/BX,Meat Snacks
Beef Jerky Flamin Hot Flavor,00028400715591,12/2.65 oz,,CS,Meat Snacks
Beef Original Stick,10854837006479,6/18/1 oz,$168.85/$28.14,CS/BX,Meat Snacks
BEEF OXTAIL SEL CUT UP,00228172510015,1/12#AVG,$152.53,CS,OFFALL/ORGANS
BEEF PATTY GR 3.1 FRS STKBUR,00023964991153,30/5.33OZ,$53.35,CS,MISC
BEEF PATTY GR 80/20 3-1 FZ,10012724405341,60/5.33OZ,$110.28,CS,80/20
BEEF PATTY GR 80/20 4-1 FZ,10012724404047,80/4 OZ,$110.28,CS,80/20
BEEF PATTY GR 80/20 5-1,10012724403217,100/3.2 OZ,$110.28,CS,80/20
BEEF RIBEYE LIPON 112A USA,90734730001725,2/14#UP,$11.77,CS,BEEF BLK DIA BX
BEEF RIBEYE LPON BNLSSELCT,90734730240841,3/15-18#,$12.64,CS,BUTCHER BLOCK
BEEF ROAST POT NAT CHOICE,90037600476044,2/10#AVG,$8.31,CS,CH BOTTOM ROND
BEEF ROAST SLI TOP RND .5 OZ,00037600434782,6/2 LB,$127.27,CS,RST BF TOP RND
BEEF ROAST TOP RND C\O CH NAT,90037600500947,2/7#AVG,$10.82,CS,PREMIUM TOP RD
BEEF SHLDR CLOD BNLS CH 114,90028749492156,3/24#AVG,$5.12,CS,BEEF COMM BOX
BEEF SHLDR TNDR TERES MAJOR,90027182018046,6/10#AVG,$9.96,CS,PREM BOX BEEF
BEEF SIRLOIN FLAP MEAT,90028749887204,4/18#AVG,$11.71,CS,PREM BOX BEEF
BEEF SKIRT INSIDE FAJ MARN,90734730337664,4/5#AVG,$9.90,CS,RAW
BEEF SKIRT INSIDE PLD USA,90734730001756,2/15#AVG,$7.58,CS,BEEF BLK DIA BX
BEEF SPECIAL TRIM,90027182000034,6/13#AVG,$5.42,CS,BEEF COMM BOX
Beef Stick Minis Orig,10850060665070,6/24/.5 oz,$112.57,CS,Meat Snacks
BEEF STRIP LN 0X1 CH 1/4IN TRM,90027182009556,6/12#AVG,$13.10,CS,PREM BOX BEEF
BEEF STRIP LOIN BNLS 1X1 SEL,90074865686610,3/12.5#,$10.24,CS,BUTCHER BLOCK
Beef Strip Wagyu,10732153029610,4/20/.8 oz,$134.92/$33.73,CS/BX,Meat Snacks
BEEF TENDER PSMO CHOICE,90074865686283,6/5#UP,$17.16,CS,BUTCHER BLOCK
BEEF TENDER PSMO SELCT USA,90074865686672,6/5#UP,$17.47,CS,BUTCHER BLOCK
BEEF TENDERLOIN PSMO,90027182009235,12/5#-UP,$18.68,CS,PREM BOX BEEF
BEEF TOP SIRL BUTT 184,90028749117424,5/15#AVG,$6.72,CS,BEEF COMM BOX
BEEF TOP SIRLOIN BUTT 14UP,90027182009150,5/14#AV,$7.22,CS,PREM BOX BEEF
BRATWURST 4X1 ORIGINAL NC RAW,10077782683476,6/2.5 LB,$64.98,CS,BULK RAW
BURGER VEG BEYOND PATTY,00852629004668,40/4OZ,$91.20,CS,PLANTBASED BEEF
BURGER VEG BEYOND PATTY,00852629004712,32/6OZ,$108.30,CS,PLANTBASED BEEF
CHICKEN BRD 8PC PCK OVNBL,00045421840842,4/4.5 LB,$80.81,CS,PROCESSED PRCKD
CHICKEN BRD TENDER RAW,10853869005771,1/10 LB,$33.08,CS,PRCSD RAW BRD
CHICKEN BREADED PATTY WG SPICY,10077013656002,156/3.05OZ,$110.72,CS,MISC.
"CHICKEN BREAST FILLETS BREADED, FC, 1/10LB",10850038852556,1/10LB,$29.90,LBS,FULLY COOKED BREADED FILLETS
"CHICKEN BREAST TENDERS BREADED, FC, 1/10LB",10816385028969,1/10LB,$28.90,LBS,FULLY COOKED BREADED TENDERS
CHICKEN BRST AIRLINE S/ON 10OZ,10734730007981,18/10 OZ,$8.39,CS,IFZ BNLS BREAST
CHICKEN BRST BRD PCK HMSTY,00023700026002,2/5 LB,$29.48,CS,PROCESSED PRCKD
CHICKEN BRST BRD SPCY SEL,00023700025883,40/4 OZ,$28.92,CS,PRCSD RAW BRD
CHICKEN BRST BRD TEMPURA PCS,00023700674173,4/5#,$75.84,CS,PRCSD RAW BRD
CHICKEN BRST FIL ITAL BRD PRCK,00023700319401,34/4.7 OZ,$55.81,CS,PROCESSED PRCKD
CHICKEN BRST FILET GRILLED,00023700303011,36/4.5 OZ,$72.92,CS,PROCESSED PRCKD
CHICKEN BRST FIRE BRAISED 4OZ,90037600467509,2/5#AVG,$6.35,CS,IFZ BNLS BREAST
CHICKEN BRST IFZ MARN NAE 4OZ,10075632545844,4/5 LB,$86.42,CS,MISC.
CHICKEN BRST IFZ MARN NAE 5OZ,10075632545851,4/5 LB,$86.42,CS,IFZ BNLS BREAST
CHICKEN BRST NUG TEMPURA BTR,00023700025692,2/5LB,$26.11,CS,PRCSD RAW BRD
CHICKEN BRST NUG TEMPURA RAW,10075632113463,2/5 LB,$39.55,CS,MRNTD RAW BRD
CHICKEN BRST STRIP TEMPURA RAW,10075632113562,2/5 LB,$46.30,CS,MRNTD RAW BRD
CHICKEN CUT 8PC IF RAW,00031400015295,1/30 LB,$78.65,CS,RAW PARTS BLK W
CHICKEN CVP 8PC CUT MR TR HAL,00074865485791,14/3-3.2#,$1.77,CS,CVP WHL W/OG
CHICKEN CVP BRST B/S RDM JUMBO,00074865447638,4/10 LB,$80.06,CS,CVP RDM BRST
CHICKEN CVP BRST RDM HALAL,00074941140583,4/10 LB,$84.65,CS,CVP RDM BRST
CHICKEN CVP BRST TENDER JUMBO,00074865484299,4/10 LB,$110.07,CS,CVP RDM BRST
CHICKEN CVP BRST TND CLP HALAL,00074941146608,4/10 LB,$112.03,CS,CVP RDM BRST
CHICKEN CVP THIGH B/S HALAL JM,00074941143034,4/10LB,$97.50,CS,CVP PARTS
CHICKEN CVP WING 1&2JT JB 4-7,00074865876674,4/10 LB,$72.06,CS,CVP PARTS
CHICKEN CVP WOG WHL HAL,90074865074219,16/2.5#AV,$1.84,CS,CVP WHL W/OG
CHICKEN DICED 1/2IN FC DRK/WHT,10075632012315,2/5 LB,$47.26,CS,PROCESSED RAW
CHICKEN DICED 1/2IN FC WHT,10075632012322,2/5 LB,$50.52,CS,PROCESSED PRCKD
CHICKEN DRUMSTICK IQF XLARGE,00023700330529,96/3.6 OZ,$30.13,CS,IFZ BNLS BREAST
CHICKEN LEG QUARTER IQF MARN,00023700319715,48/10.8OZ,$55.04,CS,IFZ BNLS BREAST
CHICKEN MEAT PULLED  SMK,10037600468814,2/5 LB,$58.29,CS,COOKED P/D DARK
CHICKEN NUG PLANT BASED,00816697020319,2/5 LB,$71.25,CS,PLANTBASED PTRY
CHICKEN POPCORN BRST BITE BRD,00023700485236,2/5LB,$35.11,CS,PROCESSED PRCKD
CHICKEN QUARTER RAW IF FRZN,00031400015301,40/12 OZ,$74.60,CS,RAW PARTS BLK W
CHICKEN SHREDDED TINGA CAFE H,10037600375945,4/5 LB,$88.74,CS,SPECIALTY CHKN
Chicken Smoked Breast Korean,10854088007713,8/2.5 oz,$37.05,CS,Meat Snacks
Chicken Snack Stick Original,10854147008101,48/1 oz,$69.93,CS,Meat Snacks
CHICKEN STRIP BRST CKD GRILL,00075278962312,2/5 LB,$45.57,CS,PROCESSED PRCKD
"CHICKEN TENDER BREADED, RTC, 2/5LB",10816385026804,2/5LB,$33.30,LBS,UNCOOKED BREADED TENDER FRITTERS
CHICKEN TENDER HOMESTYL BRD FC,10079450412586,1/20 LB,$67.28,CS,MISC.
CHICKEN TENDER INCOGMEATO,00028989103598,1/10LB,$74.09,CS,PLANTBASED PTRY
CHICKEN THIGH BNLS FIRE BRAISD,90037600650093,2/6#AVG,$4.83,CS,COOKED P/D DARK
CHICKEN THIGH BNLS SKLS HALAL,00074941553031,4/10 LB,$68.03,CS,BK RAW BNLS THG
CHICKEN THIGH BNLS SKLS LARGE,00023700302304,4/10 LB,$97.04,CS,BK RAW BNLS THG
CHICKEN THIGH BNLS/SKLS RAW,00023700009784,4/10 LB,$137.28,CS,BK RAW BNLS THG
CHICKEN THIGH MEAT B\S DCD1\2,90889356102674,2/5#AVG,$3.91,CS,BK RAW BNLS THG
CHICKEN TNDR BRD HONEY STNG,00023700059147,2/5 BAG,$44.33,CS,PROCESSED PRCKD
CHICKEN TNDR BRD ORIG RNDM,00023700101730,1/10 LB,$39.83,CS,PRCSD RAW BRD
Chicken Tndr Fritter Hs Fc FZ,00023700570598,2/5 lb,$53.18,CS,MEAT
CHICKEN TNDR FRTR GLDN PCK,00023700025845,2/5 LB,$29.48,CS,PROCESSED PRCKD
CHICKEN TNDR FRTTR ORIG,00023700505354,2/5LB,$39.83,CS,PRCSD RAW BRD
CHICKEN WING BNLS BRD,00023700026187,2/5 LB,$30.04,CS,PRCSD RAW BRD
