Item Description,GTIN,Pack Type,Price,UOM,Category
2lb Tray,921219,1000/1,$0.05/$0.05,~CsOrSlv/Each,
32oz lids,521204,12/80,$45.43/$3.78,case/sleeve,
APRON POLY EMBSD WHT 28X46 ECO,10074865078020,1/100CT,$15.45,EA,PLASTIC FULL
BAG HOT DOG FOIL,521209,4/250ct,$97.56/$24.39,Case/Sleeve,
Bag Hot Dog Foil 3 5x1 5x8 5,10753277010971,1/1000 ct,$101.63,CS,Non-Foods
Bag Hot Dog Foil 3.5x1.5x8.5,521209,????,$0.05,1,
BAG PAPER 10X6.75X12,00762935094676,1/250 CT,$79.47,CS,MISC.
BAG PAPER 6.12X4X12.3,00762935092436,1/500 CT,$22.40,CS,MISC.
BAG PAPER BRN HNDL TRAVLR 60#,00889356153604,1/250CT,$92.34,CS,CARRY-OUT W HDL
BAG PAPER SAND OPEN END 6X6.5,00734730008721,2/1000CT,$41.95,CS,SANDWICH
BAG PAPR NAT DELI TO GO W/WIN,10072181000947,1/500CT,$115.73,CS,MISC.
BAG PASTRY DISP CLR POLYTHYL,00014963046753,200/18 IN,$61.13,CS,PASTRY BAGS
BAG PLAS 10X8X24 .9ML HVYWT RL,00734730220314,1/500 CT,$42.22,CS,FOOD
BAG PLAS 5.5X5.5 HI-DEN CLEAR,00074865077866,10/200 CT,$27.61,CS,COOKIE
BAG PLAS 5.5X5.5 HI-DEN COOKIE,00074865077934,10/200CT,$15.56,CS,COOKIE
BAG PLAS 6.5X7IN HI-DEN SADDLE,00074865088541,1/2000CT,$22.44,CS,FOOD
BAG PLAS 8X3X15 .7MIL REG WT,00734730302416,1/1000CT,$63.60,CS,FOOD
BAG PLAS BOPP CLR 4X4 W/TAPE,10738101930359,1/1000CT,$29.75,CS,FOOD
BAG PLAS BOPP CLR 5X5 W/TAPE,10738101930373,1/1000CT,$22.27,CS,BOPP HI-CLARITY
BAG PLAS BOPP CLR 6.5X6.5WTAPE,10738101930274,1/1000CT,$29.99,CS,BOPP HI-CLARITY
BAG PLAS BUN PAN WTIE 13MICRON,00074865081344,200/27X37,$21.20,CS,BUN PAN
BAG PLAS PRTN 6.5X7 BLK SUN,00889356000090,1/2000CT,$8.78,CS,DAILY PRINTED
BAG PLAS PRTN 6.5X7 BLU MON,00889356000106,1/2000CT,$8.78,CS,DAILY PRINTED
BAG PLAS PRTN 6.5X7 BRN THU,00889356000137,1/2000CT,$8.78,CS,DAILY PRINTED
BAG PLAS PRTN 6.5X7 GRN FRI,00889356000144,1/2000CT,$8.78,CS,DAILY PRINTED
BAG PLAS PRTN 6.5X7 ORG SAT,00889356000151,1/2000CT,$8.78,CS,DAILY PRINTED
BAG PLAS PRTN 6.5X7 RED WED,00889356000120,1/2000CT,$8.78,CS,DAILY PRINTED
BAG PLAS PRTN 6.5X7 YEL TUE,00889356000113,1/2000CT,$8.78,CS,DAILY PRINTED
BAG PLAS RECLOS HD QT,10738101798065,500/7X8,$30.19,CS,FOOD ZIP
BAG PLAS RECLOSE 2 GAL 13X15.5,00734730220376,1/100CT,$16.09,CS,FOOD ZIP
BAG PLAS RECLOSE 2GAL13X15 FRZ,00734730639420,1/100CT,$27.00,CS,FOOD ZIP
BAG PLAS RECLOSE GAL 10X10 2ML,00734730639369,1/250 CT,$17.66,CS,FOOD ZIP
BAG PLAS RECLOSE GAL XX-HEAVY,00734730220369,1/250CT,$19.19,CS,FOOD ZIP
BAG PLAS RECLOSE GAL10X10 FRZR,00734730637136,1/200 CT,$30.24,CS,FOOD ZIP
BAG PLAS RECLOSE QRT 7X8 XXHVY,00734730220307,1/500CT,$19.01,CS,FOOD ZIP
BAG PLAS RECLOSE SLIDE GAL,00734730220277,1/250CT,$23.12,CS,FOOD SLIDE ZIP
BAG PLAS SDWCH FLIPLOCKTOP.7ML,00734730220321,2000/1EA,$31.84,CS,SANDWICH
BAG PLAS T-SHRT THNKYOU12X7X22,00715910089068,1/1000CT,$36.54,CS,T-SHIRT
Bag Popcorn 1oz,00090939020538,1/1000 ct,$27.79,CS,Non-Foods
BAG SANDWICH NAT DOUBLE VIEW,10072181000930,1/500 CT,$92.82,CS,SANDWICH
BAG VACUUM SEALER,00029419720323,100/10X14N,$81.80,CS,VACUUM BAGS
