Item Description,GTIN,Pack Type,Price,UOM,Category
APPLE CIDER               4 CT,10840501941047,4 CT,$41.00,CS,JUICES
APPLE CIDER GALLON        1 CT,00840501909002,1 CT,$13.44,EA,JUICES
APPLE FUJI                5 LB,00840501964384,5 LB,$8.96,EA,APPLES
APPLE FUJI               56 CT,10840501943027,56 CT,$56.70,CS,APPLES
APPLE FUJI               88 CT,10840501965746,88 CT,$45.70,CS,APPLES
APPLE FUJI              125 CT,10840501975349,125 CT,$35.95,CS,APPLES
APPLE FUJI              138 CT,10840501976704,138 CT,$46.70,CS,APPLES
APPLE FUJI (138 CT)  HALF CASE,00840501983620,HALF CASE,$25.33,EA,APPLES
APPLE FUJI (88 CT)   HALF CASE,00840501981336,HALF CASE,$25.33,EA,APPLES
APPLE FUJI PREMIUM      138 CT,,138 CT,,CS,APPLES
APPLE GALA                5 LB,00840501964452,5 LB,$10.24,EA,APPLES
APPLE GALA               88 CT,10840501949760,88 CT,$49.95,CS,APPLES
APPLE GALA              125 CT,10840501915611,125 CT,$45.95,CS,APPLES
APPLE GALA              138 CT,10840501967108,138 CT,$48.70,CS,APPLES
APPLE GALA (125 CT)  HALF CASE,,HALF CASE,,EA,APPLES
APPLE GALA (138 CT)  HALF CASE,,HALF CASE,,EA,APPLES
APPLE GALA (88 CT)   HALF CASE,00840501977612,HALF CASE,$28.45,EA,APPLES
APPLE GALA PREMIUM      138 CT,,138 CT,,CS,APPLES
APPLE GOLDEN              5 LB,00840501964520,5 LB,$11.14,EA,APPLES
APPLE GOLDEN             88 CT,10840501932830,88 CT,$59.20,CS,APPLES
APPLE GOLDEN            125 CT,,125 CT,,CS,APPLES
APPLE GOLDEN            138 CT,,138 CT,,CS,APPLES
APPLE GOLDEN (125 CT HALF CASE,,HALF CASE,,EA,APPLES
APPLE GOLDEN (138 CT HALF CASE,,HALF CASE,,EA,APPLES
APPLE GOLDEN (88 CT) HALF CASE,00840501971818,HALF CASE,$31.68,EA,APPLES
APPLE GOLDEN PREMIUM     88 CT,10840501986611,88 CT,$53.70,CS,APPLES
APPLE GOLDEN SLICED W/SKI 5 LB,10840501914638,5 LB,$28.50,CS,PROCESSED
