Item Description,GTIN,Pack Type,Price,UOM,Category
1.5 GALLON VACCUM SERVER,,1/1 CT,$199.50,EA,ACCESSORIES
1GL AIRPOT S/S TLXA0101S000,,1/1 EA,$59.41,EA,ACCESSORIES
2.2 LITER GLASS BLACK BODY,,1/1 CT,$29.78,EA,OTHER EQUIPMENT
28287: SPRING TAMPER & EXTENDE,,1/1 EA,$0.00,EA,BREWERS
AIRPOT S/S 2.2L GLASS MEDLLIAN,,1/1 CT,$26.45,EA,ACCESSORIES
AIRPOT S/S TLXA22 2.2LTR,06032405000095,1/1 EA,$49.32,EA,ACCESSORIES
AIRPOT S/S TLXA22-D 2.2LTR,,1/1 EA,$20.90,EA,ACCESSORIES
AIRPOT TLXA22 BLACK 2.2LTR,06032405000057,1/1 EA,$49.02,EA,OTHER EQUIPMENT
AIRPOT TLXA22-D BLACK 2.2LTR,06032405010780,1/1 EA,$48.91,EA,ACCESSORIES
Bag Popcorn 170oz,00667724912363,1/500 ct,$122.00,CS,Popcorn Cntr Bag/Box
Bag Sandwich Zipper,10012587572631,12/50 ct,$21.24,CS,Food Bags & Trays
BOYD'S TRAVEL MUG SS 16oz,10078932206309,1/1 CT,$7.06,EA,ACCESSORIES
BRUSH BOWL PLASTIC WHITE HNDLE,,1/1 EA,$2.44,EA,ACCESSORIES
BRUSH NYLON URNEX 12CT,,1/1 CT,$18.65,EA,ACCESSORIES
CHARCOAL LUMP NATURAL HARDWOOD,00016800140181,1/20 LB,$22.36,CS,LUMP
CLEANER EXPRSO CAFIZA 12/20OZ,,1/20 OZ,$8.83,EA,SERVICE SUPPLIES
CLEANER URN TSP 200CT,,1/200 CT,$14.01,EA,BREWERS
Coffee Colombian Filter Pack,10025500101078,40/1.4 oz,$68.43,CS,Regular Coffee
CONDIMENT RACK C-STORE,,1/1 EA,$51.13,EA,ACCESSORIES
DECANTER - BLANK,10078932092599,1/1 CT,$9.91,EA,OTHER EQUIPMENT
DECANTER DECAF FB 24/CS,10663042167574,24/1 EA,$10.36,EA,SERVICE SUPPLIES
DECANTER DECAF SUPERIOR 3PK,10663042001533,3/1 EA,$10.36,EA,SERVICE SUPPLIES
DECANTER EASY POUR DECAF 3/CS,,1/1 CT,$68.74,EA,SERVICE SUPPLIES
DECANTER EASY-POUR 6CS,,6/1 EA,$62.06,EA,SERVICE SUPPLIES
DECANTER REG BL HNDLE FB 24/CS,10663042167567,24/1 EA,$10.36,EA,SERVICE SUPPLIES
DECANTER REGULAR  SUP 3PK,10663042109222,3/1 EA,$10.37,EA,SERVICE SUPPLIES
DECANTER/BOYDS COFFEE,10078932091431,1/1 CT,$8.48,EA,OTHER EQUIPMENT
DECANTER/DC-BOYDS COFFEE,10078932091448,1/1 CT,$8.20,EA,OTHER EQUIPMENT
DECANTER/DECAF-BLANK,10078932092391,1/1 CT,$8.50,EA,OTHER REPAIR PARTS
DISP BEVERAGE ROUND 5GL,,1/1 EA,$89.05,EA,ACCESSORIES
"DISP TEA OVAL NARROW 22""",,1/1 CT,$141.89,EA,BREWERS
DISP TEA TCO308 DISP ONLY,,1/1 EA,$133.42,EA,ACCESSORIES
DISP TEA TDO4-BREW TRU LID,,1/1 EA,$106.25,EA,OTHER EQUIPMENT
DISP TEA TDO4-SOLID LID,,1/1 EA,$108.75,EA,ACCESSORIES
DRIP PAN BLACK,,1/1 CT,$2.29,EA,BREWERS
DRIP PAN SCREEN BLACK,,1/1 CT,$2.50,EA,BREWERS
FAUCET 6CS,,1/6 CT,$40.58,EA,BREWERS
Filter Coffee System 3,00017287505449,1/500 ct,$23.78,CS,Filters
