Item Description,GTIN,Pack Type,Price,UOM,Category
18.5z GP Swt Blk Tea,543902,,$1.26,1,
3.0 Tub CL-Grand,0,,$26.80,1,
4.0oz Coconut Bars,0,,$0.88,1,
4.0oz Lime Bars,0,,$0.88,1,
APTZR JALAPENO BTR BTL CAP,10072714009423,6/2.5 LB,$64.64,CS,BREADED CHEESE
BAGEL BIALY CLASSIC,10743672003210,60/2.5 OZ,$30.38,CS,FULLY BAKED
BAGEL BLUEBERRY SLI,00743672002612,48/4 OZ,$30.19,CS,PAR BAKED
BAGEL CINN FRCH TOAST SLI,00743672002605,48/4OZ,$31.28,CS,FULLY BAKED
BAGEL JALAPENO,00743672013496,48/4OZ,$37.98,CS,PAR BAKED
Bar Nut Btr Choc Peanut Butter,00722252568014,12/1.76 oz,$21.93,BX,Miscellaneous Snack
Bar Protein Vanilla Almond,10193908002218,12/1.83 oz,$23.09,BX,Miscellaneous
Beef patty 8oz,0,,$85.04,cs,
BJ-Cup-Cookie Dough,56225,,$1.33,1,
Boom Chicka Popcorn (Sweet and Salty),0,,$1.81,1,
CAKE ASST HALF SHEET DELUXE,00811699016933,4/80 OZ,$83.71,CS,CAKE
CAKE CHOC FLOURLESS GLUTEN FRE,10025537497410,2/4LB,$108.50,CS,SPCLTY ITEMS
CHEESE ASIAGO AURICCHIO,00031142516128,2/13#AVG,$6.59,CS,PARM/ROM/ASIAGO
CHEESE BRIE CUPS DANISH,90022655811094,12/4.5 OZ,$44.33,CS,IMPORT CHEESE
CHEESE BRIE IN TIN,70000000000009,12/4.25OZ,$42.64,CS,IMPORT CHEESE
CHEESE CHEDDAR SMKD 2.25 LB,70000000000009,2/2 CT,$4.83,CS,MISC.
CHEESE FRENCH BELLETOILE BULK,02733579007481,1/6# AVG,$8.01,CS,IMPORT CHEESE
CHEESE GOAT CHEF S CHEVRE TUB,10027958213013,2/4 LB,$87.96,CS,IMPORT CHEESE
CHEESE GOUDA BASIL GRLC,00837787002053,1/9 LB,$11.31,CS,IMPORT CHEESE
CHEESE GOUDA BLK PPRCRN,70000000000009,1/8.99LB,$11.78,CS,IMPORT CHEESE
CHEESE GOUDA TRUFFLE,70000000000009,1/9 LBAV,$24.43,CS,GOUDA&EDAM
CHEESE PARMESAN GRATE BAG,70000000000009,4/5#,$102.78,CS,BULK DRY
CHEESE PARMIGIANO REGGIANO QTR,90041793033182,1/20# AV,$15.69,CS,BULK DRY
CHEESE PROVOLONE 1/4 IMPORTED,00041793001171,1/17 LBS,$12.13,CS,MOZZ/PROVOLONE
CHEESE QUESO HATCH,10889356037154,4/5 LB,$62.37,CS,QUESO
CHEESE ROMANO LOCATELLI QTRWHL,00294886917488,1/13#AVG,$13.97,CS,PARM/ROM/ASIAGO
CHEESE ST ANDRE,93265150025505,1/4# AVG,$14.88,CS,IMPORT CHEESE
CHEESE SWISS EMMENTAL CUTS,90037982110857,1/15# AV,$13.33,CS,IMPORT CHEESE
CHEESE TALEGGIO,70000000000009,2/5# AVG,$8.11,CS,IMPORT CHEESE
Chips Apple Fuji   Red,30013971000833,6/1.4 oz,$14.50,CS,Miscellaneous Snack
CLEANER DRAIN BINGO,10025469651126,12/32 OZ,$122.01,CS,LIQUID
Clusters Cashews Chocolate DK,00602652289286,8/4 oz,$27.30,CS,Granola Bars
COF DK RST VIENNA IR 200/.50OZ,10840825021739,200/0.5 OZ,$93.00,CS,FARMER BROS BRAND
COF WORLDS FINEST URN 36/10OZ,10840825016513,1/10 OZ,$5.85,EA,FARMER BROS BRAND
Cracker Wheat Thins,10019320007986,72/1.75 oz,$36.64,CS,Crackers
CREAMER COFFEE LIQ COCONUT CRM,00050000213474,6/32 OZ,$27.36,CS,FLAVORED LIQUID
CUPCAKE CARROT GLUTEN FREE,00863882000281,32/3 OZ,$130.87,CS,CUPCAKES
CUPCAKE RED VELVET GLUTEN FR,00736211341976,32/3 OZ,$120.27,CS,CUPCAKES
DIP GUACAMOLE SNK W/TORTILLAS,30040822343894,8/2.8 OZ,$21.52,CS,MISC.
Dos Equis Lager,933429,**,$1.52,1,
DOUGH PHYLLO 14X18,00785002304140,24/16 OZ,$102.10,CS,MISC.
EGGPLANT CUTLET BTRD SKNOF 3/8,10889356196189,1/10 LB,$49.49,CS,BREADED VEGETBL
EGGROLL SKIN WRAPPER,10760941101071,220/1.45OZ,$38.04,CS,ASIAN APPETZR
FILM PVC ROLL 2000  W/SLI CUTR,521211,Large Rol,$32.00,1,
floridan orange juice,,,$22.60/$1.88,cs/ea,
FOOD - FRANK ALL BEEF 6X1 6 IN,63701,,$54.61/$0.91,Case/Each,
FOOD - PRETZEL SOFT BAKED KINGSIZE,943929,,"$2,650.00/$53.00",CS/50,
FOOD - SAUSAGE BEEF SMKD WSTRN,63702,,"$5,676.00/$2,838.00",CS/2,
Frank All Beef Wagyu 4x1,,,$57.75/$1.45,10lb\4X1/C/Each,
Giant Vanilla Sandwich,56200,,$0.75,1,
Giant Vanilla Sandwich,56201,,$0.75,1,
GUACAMOLE WESTERN,10071179029830,6/3 LB,$72.85,CS,GUACAMOLE
Guigal Cider,933455,,$12.00,1,
HONEYCOMB CHUNK RAW MINI,20852947006409,12/5.6 OZ,$150.15,CS,MISC.
Jerky Beef Original 70 CalPack,10017082877151,48/.9 oz,$81.34,CS,Meat Snacks
Jerky Beef Teriyaki 80 CalPack,10017082877168,48/.9 oz,$81.34,CS,Meat Snacks
Jerky Tender Bites Original,00017082473851,48/1 oz,$81.34,CS,Meat Snacks
JUICE CONC POG 10% 5+1,00011100296507,12/32 OZ,$99.59,CS,OTHR ALIED CONC
