Item Description,GTIN,Pack Type,Price,UOM,Category
finest call agava nectar,515444,24/ca,$17.55,each,
HAAK BE SOMEONE RED B 750ML,628260,,$304.32/$25.36,CS/EA,
peter yealands chard,,,$11.99,ea.,
WINE - 19 Crimes Chardonnay,638302,,$3.50,1,
WINE - Bonanza,638304,,$10.00,1,
WINE - Bravium Chard,638302,,$15.00,1,
WINE - BRUT Mumm Napa Brut Prestige,638306,,$12.00,1,
WINE - CAB Carmel Road,638301,1,$8.50,1,
WINE - CAB Cavit,638301,,$1.31,ea,
WINE - CAB Intrinsic,638301,,$15.00,1,
WINE - CAB Mon Frere,638301,,$9.00,1,
WINE - carmel road cab,638301,,$8.50,1,
WINE - CHARD - Carmel Road Chardonnay,638302,1,$8.50,1,
WINE - CHARD Carmel Road,638302,,$8.50,1,
WINE - CHARD Quilt,638302,,$22.00,1,
WINE - Highway 12,638301,,$17.99,1,
Wine - Josh cabernet 750ml,,,$14.03,ea,
WINE - Penfolds,638308,,$13.00,1,
Wine - PG Cavit,638300,24/ca,$1.50,Each,
WINE - PG Rocca Macie Confini,638300,,$6.50,1,
WINE - PG SeaGlass,638300,,$7.00,1,
WINE - PN - Elouan,638304,1,$12.00,1,
WINE - RED - E Guigal Côtes Du Rhône,638304,1,$13.00,1,
WINE - ROSE Charles & Charles,638304,,$6.97,1,
WINE - SB P Yealands,638300,,$9.74,1,
WINE - St Francis Chard,638302,,$9.79,1,
WINE - Sutter Home Cabernet 187ml,638301,,$1.55,1,
zionin prosecco,,,$12.99,ea,
